coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
1171088,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191183_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191183_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191183_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191183.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:a6e0744e-e090-41f5-bd76-aa26baf1791b,"2023-07-09 03:17:53",https://cch2.org/portal/collections/individual/index.php?occid=1171088,en
971402,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191184_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191184_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191184_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191184.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:92546f7d-1032-4922-bb6e-851044dc87d1,"2023-07-09 03:17:55",https://cch2.org/portal/collections/individual/index.php?occid=971402,en
1050131,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191185_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191185_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191185_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191185.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:df66a401-231e-428b-afa7-bce765cd2d06,"2023-07-09 03:17:56",https://cch2.org/portal/collections/individual/index.php?occid=1050131,en
1205092,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191186_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191186_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191186_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191186.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:c194691e-c904-4615-bbca-a36625bdda1f,"2023-07-09 03:17:57",https://cch2.org/portal/collections/individual/index.php?occid=1205092,en
1080763,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191188_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191188_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191188_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191188.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:409d759f-a45c-4f24-ba02-77706ba0b500,"2023-07-09 03:18:01",https://cch2.org/portal/collections/individual/index.php?occid=1080763,en
942849,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191189_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191189_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191189_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191189.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:1c8453ba-6b8b-41ac-8cb3-22f3d846a905,"2023-07-09 03:18:03",https://cch2.org/portal/collections/individual/index.php?occid=942849,en
970742,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191190_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191190_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191190_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191190.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:ec85e7ed-06e9-41c1-b280-843d12aa97d0,"2023-07-09 03:18:03",https://cch2.org/portal/collections/individual/index.php?occid=970742,en
1042728,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191191_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191191_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191191_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191191.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:56e92508-2885-46c7-8a97-6c5ec28f08c9,"2023-07-09 03:18:04",https://cch2.org/portal/collections/individual/index.php?occid=1042728,en
3948441,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191192_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191192_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191192_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191192.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:a1320eff-3494-477c-b79a-051259e90486,"2023-07-09 03:18:06",https://cch2.org/portal/collections/individual/index.php?occid=3948441,en
1110606,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191193_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191193_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191193_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191193.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:fc463881-052f-4dde-8d67-cd844b601b79,"2023-07-09 03:18:07",https://cch2.org/portal/collections/individual/index.php?occid=1110606,en
1091776,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191194_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191194_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191194_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191194.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:913366dd-49ea-480a-a862-b92e55bca8a7,"2023-07-09 03:18:08",https://cch2.org/portal/collections/individual/index.php?occid=1091776,en
917287,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191195_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191195_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191195_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191195.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:a913ff4d-781e-4561-a328-9d163b363d69,"2023-07-09 03:18:09",https://cch2.org/portal/collections/individual/index.php?occid=917287,en
698690,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191196_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191196_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191196_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191196.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:3d9b8522-f852-4366-86bd-413e72e1a953,"2023-07-09 03:18:10",https://cch2.org/portal/collections/individual/index.php?occid=698690,en
1247827,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191197_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191197_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191197_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191197.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:0c6863e5-9fda-418b-b633-9652c7f963b8,"2023-07-09 03:18:12",https://cch2.org/portal/collections/individual/index.php?occid=1247827,en
1193190,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191198_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191198_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191198_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191198.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:da057735-91cc-486a-835a-8c7e6adea67a,"2023-07-09 03:18:13",https://cch2.org/portal/collections/individual/index.php?occid=1193190,en
1000036,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191199_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191199_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191199_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191199.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:391d7b34-fe29-47fb-b1e7-b9387de255b1,"2023-07-09 03:18:15",https://cch2.org/portal/collections/individual/index.php?occid=1000036,en
953408,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191200_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191200_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191200_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191200.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:cdbd0513-adce-4ef4-a531-5fdb8c20521c,"2023-07-09 03:18:16",https://cch2.org/portal/collections/individual/index.php?occid=953408,en
1213517,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191201_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191201_lg.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191201_tn.jpg,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191201.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-RSA)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:eefe7652-75a0-46c4-8e00-6efeaf3076c4,"2023-07-09 03:18:16",https://cch2.org/portal/collections/individual/index.php?occid=1213517,en
