id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references
1123870,RSA,POM,,PreservedSpecimen,c3b510cb-ba16-46c2-934c-b316765b0aaf,,POM accession: 273398,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Cora W. Benson,,s.n.,1/26/29,,1929,1,26,26,NA,,,Upper Sonoran.,,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Introduced,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,San Luis Obispo,,Pismo Beach.,,0,NA,NA,NA,,,NA,,,,,,,30,NA,NA,NA,NA,100ft.,,,Jackie C. McConnaughy; cataloged date: 2012-04-17,4/12/23 0:18,c3b510cb-ba16-46c2-934c-b316765b0aaf,17,a1ae9acd-5001-46bf-9441-0699882fdd62,https://cch2.org/portal/collections/individual/index.php?occid=1123870
2772132,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:550642,550642,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,"Griffith, Gerald",,40,3/22/37,,1937,3,22,81,NA,22-Mar-37,"""Wild Radish"".",Upper Sonoran zone; clay soil.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,San Luis Obispo ,,"National Guard Camp, Pacific Coast watershed",,0,NA,NA,NA,,,NA,,,,,,,30,NA,NA,NA,NA,100.0000000000 ft,,en,,5/30/17 14:51,urn:catalog:CAS:BOT-BC:550642,1,c408bbc7-d780-423c-8bc2-83392dc11e0b,https://cch2.org/portal/collections/individual/index.php?occid=2772132
1135498,RSA,POM,,PreservedSpecimen,c9394375-08f0-41c9-b7ad-ba72b27c0d75,,POM accession: 96159,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Marcus E. Jones,,s.n.,4/28/26,,1926,4,28,118,NA,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Cultivated,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Santa Barbara,,Orcutt.,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,T. Kim Nguyen; cataloged date: 2007-09-21,4/12/23 0:18,c9394375-08f0-41c9-b7ad-ba72b27c0d75,17,858ba816-71d2-422f-8fa4-2f9501820bac,https://cch2.org/portal/collections/individual/index.php?occid=1135498
684007,RSA,RSA,,PreservedSpecimen,1601abeb-6196-4450-93a3-b39f1e382b05,,RSA accession: 431508,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Dr H. de Forest,,s.n.,3/30/29,,1929,3,30,89,NA,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Cultivated,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Santa Barbara,,Cuyama R. Valley,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,T. Kim Nguyen; cataloged date: 2007-09-21,4/12/23 0:18,1601abeb-6196-4450-93a3-b39f1e382b05,17,6167989e-46a4-41b3-8a27-fbad256261d8,https://cch2.org/portal/collections/individual/index.php?occid=684007
1008177,RSA,POM,,PreservedSpecimen,8c516749-30a7-4787-abed-dc557048db3a,,POM accession: 273403,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Lyman Benson,,7970,9/4/36,,1936,9,4,248,NA,,,"Adobe soil, Upper Sonoran",,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Cultivated,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Santa Clara,,"Palo Alto, Watershed: San Francisco Bay.",,0,NA,NA,NA,,,NA,,,,,,,15,NA,NA,NA,NA,50ft.,,,T. Kim Nguyen; cataloged date: 2007-09-21,4/12/23 0:18,8c516749-30a7-4787-abed-dc557048db3a,17,9b32ddff-f495-40e0-8aab-689d225b0472,https://cch2.org/portal/collections/individual/index.php?occid=1008177
1045059,RSA,POM,,PreservedSpecimen,9df4e6d9-3c4a-42fb-917b-5a6f758a854f,,POM accession: 273402,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Lyman Benson,,7970,9/4/36,,1936,9,4,248,NA,,,"Adobe soil, Upper Sonoran",,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Introduced,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Santa Clara,,"Palo Alto, Watershed: San Francisco Bay.",,0,NA,NA,NA,,,NA,,,,,,,15,NA,NA,NA,NA,50ft.,,,Jackie C. McConnaughy; cataloged date: 2012-04-17,4/12/23 0:18,9df4e6d9-3c4a-42fb-917b-5a6f758a854f,17,ab1c28fd-7ce5-4398-97db-da4f61804b5d,https://cch2.org/portal/collections/individual/index.php?occid=1045059
1368053,DAV,Vascular Plants,,PreservedSpecimen,ebb3d00d-2adb-47fd-ba9c-396b1a4605ae,DAV310402,Accession #: DAV2644,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,M. Wiesendanger,,716,5/5/27,,1927,5,5,125,NA,5-May-27,Not enough data to georeference. | Access Database Number (Deprecated): UCD115233,,,Wild radish.,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Sonoma,,Sonoma County.,,0,NA,NA,NA,,,NA,,C. Walden,,,,Unable to Georeference,NA,NA,NA,NA,NA,,,,,5/18/23 12:51,UCD115233,39,ebb3d00d-2adb-47fd-ba9c-396b1a4605ae,https://cch2.org/portal/collections/individual/index.php?occid=1368053
1062094,RSA,RSA,,PreservedSpecimen,a6142b02-bfa1-4e1b-b2f7-3a79771f3e69,,RSA accession: 722375,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Norland,,42,1929-04-00,,1929,4,0,NA,NA,1929-04,,Barley field.,,1-2 in fleshy roots. Fls purplish - dark veined. Biennial.,NA,NA,NA,NA,NA,,,NA,NA,,flowers,Introduced,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Trinity,,[no locality information provided],,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,Jackie C. McConnaughy; cataloged date: 2012-04-17,4/12/23 0:18,a6142b02-bfa1-4e1b-b2f7-3a79771f3e69,17,437274dc-45c9-4840-9526-ba0afa787197,https://cch2.org/portal/collections/individual/index.php?occid=1062094
720388,RSA,POM,,PreservedSpecimen,273bd9f0-a866-43eb-91b8-faf6de2397d7,,POM accession: 273400,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Lyman Benson,,8124,4/17/37,,1937,4,17,107,NA,,,Granite sandy soil,,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Cultivated,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Ventura,,E Bakersfield.,,0,NA,NA,NA,,,NA,,,,,,,122,NA,NA,NA,NA,400ft.,,,T. Kim Nguyen; cataloged date: 2007-09-19,4/12/23 0:18,273bd9f0-a866-43eb-91b8-faf6de2397d7,17,e62ca182-a4c7-47b7-92d2-083a68d3b76e,https://cch2.org/portal/collections/individual/index.php?occid=720388
4126372,RSA,POM,,PreservedSpecimen,8ba0a9ce-7b39-44a5-8acf-5f46c13cb2f0,,POM accession: 273401,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Lyman Benson,,8124,4/17/37,,1937,4,17,107,NA,,,Granite sandy soil,,,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Cultivated,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Ventura,,E Bakersfield.,,0,NA,NA,NA,,,NA,,,,,,,122,NA,NA,NA,NA,400ft.,Deaccessioned,,T. Kim Nguyen; cataloged date: 2007-09-19,4/12/23 0:18,8ba0a9ce-7b39-44a5-8acf-5f46c13cb2f0,17,d3e8e8a5-1c0b-4e46-beed-e6ddc98d7475,https://cch2.org/portal/collections/individual/index.php?occid=4126372
