id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references,X,X.1,X.2,X.3,X.4,X.5,X.6
2432397,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74187,74187,urn:catalog:CAS:BOT:484471,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Kawahara, Saichi",,15,3/10/68,,1968,3,10,70,NA,10-Mar-68,Flowers dark yellow.,"Associations: Brassica campestria, Montia perfoliata, Spergula arvensis, Platystemon californicus, Calandrinia ciliata.",,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Marin ,,"Sir Francis Drake Highway near site of new high school 2 miles east of golf course, San Geronimo Valley.",,0,NA,NA,NA,,,NA,,,,,,,116,NA,NA,NA,NA,380.0000000000 ft,,en,,5/13/11 11:25,urn:catalog:CAS:BOT-BC:74187,1,3bb1d1f4-f7a9-48ec-b825-2175ab227bc9,https://cch2.org/portal/collections/individual/index.php?occid=2432397,,,NA,NA,NA,NA,
3792188,FSC,,,PreservedSpecimen,8614ea03-07d9-492f-9d24-af181604a769,FSC0010473,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Toynette Wong,,68-090,4/6/68,,1968,4,6,97,NA,6-Apr-68,common,Soil: sandy loam and extremely moist. valley grassland community. Associated species: Amsinckia intermedia and grasses.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Madera,,"Collected 1/4 mile from Le Grand turn off, going north on Highway 99.",,0,NA,NA,NA,,,NA,,,,,,,83,NA,NA,NA,NA,273 feet.,,en,pawanpreetgill5,4/12/23 0:18,,38,8614ea03-07d9-492f-9d24-af181604a769,https://cch2.org/portal/collections/individual/index.php?occid=3792188,,,NA,NA,NA,NA,
5504848,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:684485,684485,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,"Freel, Maeton",,27,5/17/69,,1969,5,17,137,NA,5/17/69,yellow flowers. 3 inches tall . CalState Hayward.,flat grass land,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Alameda ,,end of Niles off highway 84,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,6/14/22 10:50,urn:catalog:CAS:BOT-BC:684485,1,74d63142-c7cd-4a03-a5a3-576b9b87fe2a,https://cch2.org/portal/collections/individual/index.php?occid=5504848,,,NA,NA,NA,NA,
5504844,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:684481,684481,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,"Owens, Jan",,26,7/13/69,,1969,7,13,194,NA,7/13/69,yellow blossom plant 16-18 inches . CalState Hayward.,Dry rich soil,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Marin ,,Marshall Petaluma,,0,NA,NA,NA,,,NA,,,,,,,30,NA,NA,NA,NA,100.0000000000 ft,,en,,6/14/22 10:24,urn:catalog:CAS:BOT-BC:684481,1,3e4ddb3a-9a66-451d-a22e-e19cfee69716,https://cch2.org/portal/collections/individual/index.php?occid=5504844,,,NA,NA,NA,NA,
202491,OBI,,,PreservedSpecimen,6e6e430d-e27a-4892-b47a-5ace6fc88433,OBI101785,48701,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,S. Bagley,,s.n.,3/28/69,,1969,3,28,87,NA,28-Mar-69,,on a S facing hill in sandy soil,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,pressed herbarium specimen,NA,,NA,NA,NA,United States,California,San Mateo,,Overlooking the San Francisco Game Refuge,,0,NA,NA,NA,,,NA,,,,,,,145,NA,NA,NA,NA,475ft.,,,17Marquezsr,4/16/13 0:00,,12,e36547fb-7b8c-4490-860e-e547cd26121c,https://cch2.org/portal/collections/individual/index.php?occid=202491,,,NA,NA,NA,NA,
1005483,RSA,RSA,,PreservedSpecimen,8b030c68-c5a1-44d5-a2f5-0f162861d5b6,,RSA accession: 237977,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Frederick W. Oettinger,,1367,8/14/69,,1969,8,14,226,NA,,,Weedy area.,,Fl whitish with deep purple veins.,NA,NA,NA,NA,NA,,,NA,NA,,flowers,Introduced,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Siskiyou,,Near English Lake. The Salmon Mountains. High Lake Basins in the vicinity of English Peak. Marble Mountain Wilderness.,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,Jackie C. McConnaughy; cataloged date: 2012-04-17,4/12/23 0:18,8b030c68-c5a1-44d5-a2f5-0f162861d5b6,17,1a6756bd-c167-43eb-8f2b-1ffe7aa84101,https://cch2.org/portal/collections/individual/index.php?occid=1005483,,,NA,NA,NA,NA,
742860,RSA,RSA,,PreservedSpecimen,31eb9869-83ec-4bbc-8d7d-e8c7b2c086a6,RSA0154111,RSA accession: 318096,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,LeRoy Gross,2019-04,,,,,NA,Fields,,25,4/27/69,,1969,4,27,117,NA,,,"Open lot, sandy soil, valley grassland",,Abundant petals light purple,NA,NA,NA,NA,NA,,,NA,NA,,flowers & fruits,Introduced,NA,NA,,NA,NA,herbarium sheet,NA,,NA,NA,NA,United States,California,Yuba,,Mariposa and Douglas AVe in El Segundo,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,T. Kim Nguyen; cataloged date: 2008-10-29,4/12/23 0:18,31eb9869-83ec-4bbc-8d7d-e8c7b2c086a6,17,ab2b94b1-6bc7-4276-b1e2-200103f20b91,https://cch2.org/portal/collections/individual/index.php?occid=742860,,,NA,NA,NA,NA,
5504860,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:684498,684498,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,"Vais, Christopher L.",,17,4/15/70,,1970,4,15,105,NA,4/15/70,"Purple fading to white, 2-3 feet tall. . CalState Hayward.","0 degree slope, Serpentine, open, west facing direct light, Iceplant border.",,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Alameda ,,CBRH Property,,0,NA,NA,NA,,,NA,,,,,,,122,NA,NA,NA,NA,400.0000000000 ft,,en,,6/15/22 13:18,urn:catalog:CAS:BOT-BC:684498,1,1b60d974-da11-4814-817e-97aea7d0694e,https://cch2.org/portal/collections/individual/index.php?occid=5504860,,,NA,NA,NA,NA,
2452819,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74300,74300,urn:catalog:CAS:BOT:592413,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Twisselmann, Ernest C.",,16684,6/11/70,,1970,6,11,162,NA,"June 11, 1970.",Common weed.,In dense river-bank growth. Coastal plain.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Monterey ,,"Salinas River, ca. 1 mile above its mouth.",,0,NA,NA,NA,,,NA,,,,,,,6,NA,NA,NA,NA,20.0000000000 ft,,en,,5/16/11 13:30,urn:catalog:CAS:BOT-BC:74300,1,2e779e4a-8153-44a4-b766-e99875f7f433,https://cch2.org/portal/collections/individual/index.php?occid=2452819,,,NA,NA,NA,NA,
3792189,FSC,,,PreservedSpecimen,84a892f1-3237-42e5-a231-8cef6d6fea69,FSC0010474,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Gary A. Watkins,,70035,3/6/70,,1970,3,6,65,NA,6-Mar-70,,"The soil type was loam and this plant is common. The plant community is the Valley Grassland. Associated with Montia perfollata , Raphanus rapitanistrum, Brassica Campestins",,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Yuba,,"The location of this plant was on Brownvilw Road, 6 miles north of Highway 20.the plant community is the Valley Grassland,",,0,NA,NA,NA,,,NA,,,,,,,152,NA,NA,NA,NA,"1,500 feet",,en,pawanpreetgill5,4/12/23 0:18,,38,84a892f1-3237-42e5-a231-8cef6d6fea69,https://cch2.org/portal/collections/individual/index.php?occid=3792189,,,NA,NA,NA,NA,
