region,decade,id,cat_id,DNA_tissue,leaf_tissue,sampled?,extracted?,lab_id,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,successful?,institutionCode,catalogNumber,year,county,locality,decimalLatitude,decimalLongitude,notes,extr_tissue
VALY,1960s,3292668,JEPS45440,3 bud clusters,"yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1961,,,,,,
VALY,1960s,5504856,684493,5 axillary buds,"yes, cauline with basal morphology",y,y-N,25_171,8.56,61.3,2,1.83,y,,,1962,,,,,,
VALY,1960s,5504855,684492,3 axillary buds,"yes, cauline with basal morphology ",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1962,,,,,,
VALY,1960s,2424544,74190,"1 axillary bud, 2 terminal bud cluster","yes, cauline with intermediate morphology",y,y-N,26_017,41.3,80.2,1.74,1.36,y,,,1964,,,,,,
VALY,1960s,2061760,CHSC000537,3 axiallary buds,"yes, cauline with basal morphology",y,y-N,26_061,19.3,27,1.84,2.6,y,,,1965,,,,,,
VALY,1960s,2030475,CHSC010657,2 axiallary bud,"yes, basal",y,y-N,26_062,10.7,18.4,1.81,2.83,y,,,1966,,,,,,
VALY,1960s,5872887,CHSC126713,"2 axillary bud, 1 terminal bud cluster","yes, basal ",y,y-N,25_187,19.6,36.1,1.77,1.55,y,,,1968,,,,,,
VALY,1960s,5872878,CHSC126717,4 axillary buds,"yes, cauline w/ intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1968,,,,,,
VALY,1970s,3792189,FSC0010474,3 bud clusters and lil leaf,"yes, cauline with basal morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1970,,,,,,
VALY,1970s,2039506,CHSC026459,"1 axillary bud, 1 large bud cluster","yes, basal",y,y-N,25_209,77.4,232.6,1.94,2.29,y!,,,1971,,,,,,
VALY,1970s,2439512,74266,3 axiallary buds,"yes, basal",y,y-N,26_035,5.26,22.8,1.79,2.64,y!,,,1973,,,,,,
VALY,1970s,2034914,CHSC021252,"2 axiallary bud, 1 little leaf","yes, basal",y,y-N,26_032,4.05,18.8,1.73,3.4,y!,,,1975,,,,,,
VALY,1970s,4095404,CDA-0037168,3 axillary buds,no,,,,,,,,,,,1975,,,,,,
VALY,1970s,2056948,CHSC046484,1 big axillary bud,"yes, basal",y,y-N,25_210,74,161.4,1.84,2.43,y!,,,1977,,,,,,
VALY,1970s,2040704,CHSC027838,"4 axiallary buds, 1 leaf","yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1978,,,,,,
VALY,1970s,2044164,CHSC031957,5 axillary buds,"yes, basal",y,y-N,26_023A,90.8,131.6,1.82,2.59,y,,,1979,,,,,,
VALY,1980s,2314219,74265,2 terminal bud cluster,"yes, basal",y,y-N,25_169,17.2,25.3,1.87,1.7,y,,,1980,,,,,,
VALY,1980s,2308947,74179,"2 axiallary buds, 1 terminal bud cluster","yes, cauline",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1980,,,,,,
VALY,1980s,2315373,74238,"2 axillary buds, 1 large terminal cluster","yes, basal",y,y-N,26_019,14.8,37.5,1.81,2.34,y,,,1981,,,,,,
VALY,1980s,2322749,74237,"2 terminal bud clusters, 1 axillary bud","yes, basal",y,y-N,25_188,66.1,92.9,1.83,2.34,y,,,1982,,,,,,
VALY,1980s,2049536,CHSC038033,3 axiallary buds,"yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1982,,,,,,
VALY,1980s,2049533,CHSC038030,4 axiallary buds,"yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1982,,,,,,
VALY,1980s,2049534,CHSC038031,4 axillary buds,"yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1982,,,,,,
VALY,1980s,2049555,CHSC038052,"3 axillary bud, 1 little leaf","yes, cauline w/ intermediate morphology",y,y-N,26_020,15.3,33.4,1.88,2.51,y,,,1983,,,,,,
VALY,1980s,2057404,CHSC047040,2 big bud clusters,"yes, cauline with basal morphology",y,y-N,26_033,86.7,125.2,1.81,2.19,y!,,,1985,,,,,,
VALY,1980s,4095385,CDA-0059482,3 axillary buds,"yes, cauline with basal morphology",,,,,,,,,,,1985,,,,,,
VALY,1990s,469072,SD00062796,"2 axiallary buds, small leaf","yes, cauline",y,y-N,26_036,6.57,28.8,1.75,2.22,y!,,,1990,,,,,,
VALY,1990s,1367989,DAV310445,4 axiallary buds,"yes, basal",y,y-N,25_168,123,240.8,1.94,2.14,y!,,,1992,,,,,,
VALY,1990s,4095375,CDA-0012316,3 axillary buds,"yes, basal",,,,,,,,,,,,,,,,,
VALY,1990s,1617536,UCR0083309,"3 axiallary bud, 1 little leaf","yes, basal ",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1992,,,,,,
VALY,1990s,2767898,539372,"1 terminal bud cluster, 2 axillary buds","yes, cauline with basal morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1992,,,,,,
VALY,1990s,1333957,DAV300674,"5 axillary buds, 1 little leaf","yes, basal",y,y-N,25_167,20.2,47.9,1.94,2.06,y,,,1995,,,,,,
VALY,1990s,2071112,CHSC065917,3 axiallary buds,"yes, cauline w/ intermediate morphology",y,,26_088,13.4,42,1.94,2.22,,,,1996,,,,,,
VALY,1990s,3278418,JEPS88506,4 bud clusters,"yes, basal",y,y-N,25_189,39.2,52.3,1.84,2.16,y,,,1996,,,,,,
VALY,1990s,1339126,DAV310439,4 axiallary buds,"yes, cauline w/ intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1997,,,,,,
VALY,1990s,3776588,DAV328011,"3 axiallary bud, 1 little leaf","yes, cauline with basal morphology",y,y-N,26_001,80.4,104.6,1.79,2.15,y,,,1997,,,,,,
VALY,2000s,1327836,DAV315352,1 big axillary bud cluster,no,y,y-OG,25_011,4.05,10.4,1.51,1.15,m,,,2000,,,,,,
VALY,2000s,1368009,DAV310425,0,0,y,y-OG,25_012,33.5,53.6,1.83,5.45,y,,,2007,,,,,,
VALY,2000s,1367985,DAV300676,4 axiallary buds,"yes, cauline w/ intermediate morphology",y,y-N,25_133,213,21.7,1.75,1.82,y,,,2000,,,,,,
VALY,2000s,1302899,DAV300672,3 axiallary buds,"yes, cauline",y,y-N,25_134,14,24,1.7,1.59,m,,,2003,,,,,,
VALY,2000s,1368007,DAV310419,,,,ip,,,,,,,,,2006,,,,,,
VALY,2000s,2124078,CHSC096467,"3 axillary bud, 1 little leaf","yes, basal",y,y-N,25_136,33.5,62.9,1.84,1.87,y,,,2007,,,,,,
VALY,2000s,1336458,DAV310437,"2 axiallary buds, 1 terminal bud cluster, 1 lil leaf","yes, cauline with basal morphology",y,y-N,25_137,90,333.4,2.06,2.36,y,,,2009,,,,,,
,,4095393,CDA-0019431,3 axillary buds,"yes, basal",,,,,,,,,,,2002,,,,,,
VALY,2010s,1652583,UCR0083380,5 axillary buds,"yes, cauline with basal morphology",y,y-N,25_138,56.4,209.6,2.05,2.29,y,,,2011,,,,,,
VALY,2010s,1667960,UCR0083377,"4 axiallary buds, 1 lil leaf","yes, cauline with basal morphology",y,y-N,26_002,235,249.4,1.85,2.2,y,,,2013,,,,,,
VALY,2010s,1671160,UCR0083398,"1 large terminal bud cluster, 2 axially bud, lil leaves","yes, cauline with basal morphology",y,y-N,25_214,71.4,121.8,1.84,2.05,y!,,,2014,,,,,,
VALY,2010s,2963303,DAV325632,2 axiallary bud,"yes, cauline with basal morphology",y,y-OG,25_014,26.1,28.6,1.76,1.05,y,,,2019,,,,,,
VALY,2010,1660287,UCR0083406,,,,,,,,,,,,,,,,,,,
VALY,2020s,6053255,DAV245704,2 terminal bud cluster,"yes, basal",y,y-N,25_191,70.76,231.7,1.96,2.19,y!,,,2024,,,,,,
VALY,2020s,6003808,DAV244422,3 axiallary bud,"yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,2024,,,,,,
BAYS,pre.1890,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
BAYS,1890s,,74174,"1 terminal bud cluster, a few loose buds",no,y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1893,,,,,,
BAYS,1890s,3366602,UC10776,2 terminal bud clusters,"yes, basal",y,y-N,26_138,low,3.7,2.18,1.41,,,,1893,,,,,,
BAYS,1890s,2283873,74352,"3 axillary buds, 1 terminal bud cluster, 1 little leaf","yes, basal",y,y-N,26_136,1.65,38.7,2,2.22,,,,1895,,,,,,
BAYS,1890s,2286564,74343,5 axillary buds,"yes, basal",y,y-N,26_113,0.496,7.7,1.83,32.91,,,,1897,,,,,,
BAYS,1890s,3511149,JEPS53812,4 terminal bud clusters,"yes, basal",y,y-N,26_135,low,2.6,2.37,6.13,,,,1897,,,,,,
BAYS,1890s,3209072,UC1206452,"4 bud clusters, little leaf","yes, cauline with intermediate morphology",y,y-N,26_115,0.36,6.3,1.45,3.98,,,,1897,,,,,,
BAYS,1900s,2453178,74219,"1 axiallary bud cluster, 1 apical bud cluster, mature leaf tissue","yes, cauline with intermediate morphology",y,y-N,25_179,0.776,8.4,1.64,1.3,m,,,1900,,,,,OR 3452051,
BAYS,1900s,3452051,UC10775,"1 axiallary bud cluster, 1 apical bud cluster","yes, cauline, intermediate morphology",y,,26_063,2.33,20.4,1.75,1.9,,,,1900,,,,,,
BAYS,1900s,2271679,74261,"2 axillary buds, 1 large bud terminal cluster","yes, basal",y,y-N,26_041,2.35,16.7,1.83,19.85,,,,1902,,,,,,
BAYS,1900s,3257939,UC127885,"2 axiallary buds, 1 bud cluster","yes, cauline with basal morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1906,,,,,,
BAYS,1900s,4830361,US 874348,0,0,y,y-N,26_064,0.219,4.6,1.39,1.28,,,,1906,,,,,,
BAYS,1900s,2300919,74309,"2 axillary bud, 1 terminal bud, 1 little leaf","yes, cauline with cauline morphology ",y,y-N,25_176,0.73,6.1,1.38,0.72,m,,,1907,,,,,OR 2336172/2316473,
BAYS,1900s,2336172,74305,"1 axillary bud, 2 terminal bud cluster, 1 little leaf","yes, cauline w/ intermediate morphology",y,y-N,25_193,0.897,10.6,1.39,1,m,,,1907,,,,,,
BAYS,1900s,2316473,74304,1 mini axillary branch ,no,y,,,,,,,,,,1907,,,,,,
BAYS,1900s,2340225,74344,4 axiallary buds,"yes, basal",y,y-N,25_177,1.89,15.1,1.86,1.37,y,,,1907,,,,,yet to prioritize in decade; OR 2465901/2390205,
BAYS,1900s,2465901,74345,2 axillary bud,no,y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1907,,,,,,
BAYS,1900s,2390205,74346,"3 axillary buds, 1 terminal bud cluster","yes, cauline with cauline morphology ",y,y-N,25_194,1.52,13.8,1.57,1.06,y,,,1907,,,,,,
BAYS,1910s,2294495,74302,4 axillary buds,"yes, basal",y,y-N,25_175,0.455,13.3,1.63,1.06,m,,,1910,,,,,"OR 2328808, or 2286003 (no lf tissue)",
BAYS,1910s,2328808,74301,"3 axillary bud, 1 little leaf","yes, basal",y,y-N,25_195,1.26,16,1.64,1.51,y,,,1910,,,,,,
BAYS,1910s,2286003,74303,"1 terminal bud cluster, 2 axillary buds",no,y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1910,,,,,,
BAYS,1910s,2426166,74363,"1 axillary bud, 1 terminal bud cluster, 1 little leaf","yes, basal",y,y-N,26_066,2.01,42.7,1.99,2.03,,,,1912,,,,,,
BAYS,1910s,4892287,US 880131,0,0,y,y-N,26_004A,7.19,15.6,1.79,3.02,y,,,1913,,,,,,
BAYS,1910s,5001849,US 765571,0,0,y,y-N,26_027,23.2,136,2.03,2.4,,,,1913,,,,,,
BAYS,1910s,1368029,DAV310407,"3 axiallary buds, 2 terminal bud clusters","yes, cauline w/ intermediate morphology",y,y-N,26_024,32.4,80.9,1.92,2.73,,,,1914,,,,,in Marin,
BAYS,1910s,1368028,DAV310408,"3 large axillary bud cluster, 1 lil leaf","yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1914,,,,,,
BAYS,1910s,2457381,74311,3 axillary buds,"yes, cauline with cauline morphology ",y,y-N,26_043,0.649,11.4,1.67,2.2,,,,1914,,,,,pacific grove,
BAYS,1910s,1367990,DAV300673,"5 axillary buds, little lf","yes, cauline w/ intermediate morphology",y,y-N,26_069,32.3,54.5,1.85,2.14,,,,1917,,,,,berkeley,
BAYS,1910s,1367992,DAV310430,"4 axiallary buds, 1 terminal bud cluster","yes, basal",y,y-N,25_153,16.4,41.8,1.72,1.38,y,,,1917,,,,,south of sf; OR 1367991,
BAYS,1910s,1367991,DAV310431,4 axiallary buds,"yes, basal",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1917,,,,,,
BAYS,1910s,3479641,UC212637,2 bud clusters,"yes, cauline, intermediate morphology",y,y-N,25_154,3.16,15,1.71,1.88,y,,,1917,,,,,monterey; OR 3479651,
BAYS,1910s,3479651,UC212638,1 apical bud cluster,"yes, cauline, intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1917,,,,,,
BAYS,1920s,2368640,74209,several bud clusters,"yes, cauline with basal morphology",y,y-N,26_028,25.2,493.9,2.15,2.42,,,,1920,,,,,stanford area; OR 2398571,
BAYS,1920s,2398571,74207,3 axillary buds ,"yes, basal",y,y-N,26_005A,3.18,25.4,1.71,1.26,y,,,1920,,,,,,
BAYS,1920s,2342396,74312,3 axillary buds,"yes, basal",y,y-N,26_058,2.3,58.9,2.05,2.7,,,,1920,,,,,monterey,
BAYS,1920s,2352540,74248,4 axillary buds,"yes, cauline with basal morphology",y,y-N,25_155,2.29,12.8,1.78,1.94,y,,,1921,,,,,berkeley; OR 2446817/2388593/2366181/2322547/2317066/,
BAYS,1920s,2446817,74250,"4 axillary buds, 1 terminal bud cluster, 1 little leaf","yes, cauline w/ intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1921,,,,,,
BAYS,1920s,2388593,74249,2 axillary buds,"yes, cauline w/ intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1921,,,,,,
BAYS,1920s,2366181,74247,2 axillary buds,"yes, cauline with intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1921,,,,,,
BAYS,1920s,2322547,74245,3 axillary buds,"yes, cauline with intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1921,,,,,,
BAYS,1920s,2317066,74244,3 axillary buds,"yes, cauline with intermediate morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1921,,,,,,
BAYS,1920s,2331781,74362,"2 axillary bud, 1 terminal bud cluster","yes, cauline with cauline morphology ",y,y-N,26_070,0.328,7.4,1.68,2.06,y,,,1921,,,,,santa cruz,
BAYS,1920s,2395018,74260,4 axillary bud clusters,"yes, cauline with basal morphology ",y,y-N,26_006,8.17,11,1.54,1.16,y,,,1924,,,,,berkeley,
BAYS,1920s,2311023,74259,3 axillary buds,"yes, cauline with basal morphology",y,y-N,26_072,1.73,18,1.79,2.04,y,,,1925,,,,,berkeley,
humboldt,1920s,715148,RSA0191164,2 axillary buds,"yes, cauline w/ intermediate morphology",,,,,,,,,,,1926,,,,,,
yosemite,1920s,YOSE65260,"2 axillary buds, 2 little leaves","yes, basal",,,,,,,,,,,,1927,,,,,,
BAYS,1920s,947300,RSA0191299,4 axillary buds,"yes, cauline with intermediate morphology",,,,,,,,,,,1927,,,,,,
BAYS,1920s,2386302,74329,3 terminal  bud clusters,"yes, cauline with cauline morphology ",y,y-N,26_029,0.784,8.1,1.5,2.52,y,,,1927,,,,,SF,
BAYS,1920s,1368002,DAV310416,8 axillary buds,"yes, cauline with basal morphology",y,y-N,26_045,131,885.5,2.09,2.45,y,,,1929,,,,,berkeley,
BAYS,1920s,3792158,FSC0010443,3 axillary buds and one young leaf,"yes, cauline with basal morphology",y,y-N,26_008,0.74,7.3,1.64,-74.67,m,,,1929,,,,,moterey,
BAYS,1920s,3792196,FSC0010481,3 buds and some leaf bits,"yes, basal",y,y-N,25_199,0.343,5.6,1.5,2.63,m,,,1929,,,,,monterey,
BAYS,1930s,3260290,UC407038,2 big bud clusters,"yes, basal",y,y-N,25_156,0.24,7.7,1.42,0.82,n,,,1930,,,,,east bay; OR 3334730/2408641,
BAYS,1930s,3334730,UC650429,3 bud clusters,"yes, basal",,failed,25_180,"Note: Lab Notebook has rows crossed out, notes say broken tube pg 37, date is 251216",,,,n,,,1930,,,,,,
BAYS,1930s,2408641,74267,3 terminal  bud clusters,"yes, basal",,y-N,25_200,0.092,6.5,1.34,0.84,n,,,1930,,,,,,
BAYS,1930s,468997,SD00062792,1 axillary bud; 2 floral bud clusters; loose buds,"yes, cauline",,y-N,26_010,0.129,7.1,1.2,1.02,n,,,1932,,,,,monterey,
BAYS,1930s,468993,SD00062793,few floral bud clusters,"yes, cauline",,y-N,26_046,0.39,6,1.51,-1.8,m,,,1933,,,,,sf,
BAYS,1930s,3379131,UC1126745,"2 axiallary buds, 2 bud clusters","yes, cauline with basal morphology",,y-N,26_044,8.18,48.4,2.01,3.14,y,,,1934,,,,,"berkeley; exact dup 3550026,or 3792171/3417594",
BAYS,1930s,3550026,UC1126746,5 bud clusters,"yes, cauline with basal morphology",y ,y-N,25_139,7.84,118.9,2.07,2.36,y,,,1934,,,,,,yes
BAYS,1930s,3792171,FSC0010456,3 bud clusters,"yes, cauline, not basal morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1934,,,,,,
BAYS,1930s,3417594,UC1614555,4 bud clusters,"yes, cauline, intermediate morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1934,,,,,,
BAYS,1930s,3433650,UC1126749,3 terminal bud clusters,"yes, cauline, intermediate morphology",,y-N,25_157,8.21,16.9,1.79,1.83,y,,,1935,,,,,santa cruz; OR 3306212,
BAYS,1930s,3306212,UC1126752,4 terminal bud clusters,"yes, cauline",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1935,,,,,santa cruz,
BAYS,1930s,3310288,UC606739,2 bud clusters,"yes, cauline with basal morphology",,y-N,26_048,17.5,225.9,2.09,2.32,y,,,1936,,,,,sf,
BAYS,1930s,2405523,74175,"4 axillary buds, little leaf","yes, basal morphology ",,y-N,26_050,52.2,69.5,1.8,2.81,y,,,1937,,,,,oakland,
,1930s,639302,RSA0191244,"2 axillary buds, 2 little leaves",no,,,,,,,,,,,1939,,,,,,
,1940s,1092827,RSA0191156,3 axillary buds,"yes, basal",,,,,,,,,,,1940,,,,,,
BAYS,1940s,1367984,DAV300681,"4 axiallary buds, few lil leaves","yes, basal",,y-N,26_052,21.8,92,1.99,2.48,y,,,1942,,,,,monterey,
BAYS,1940s,3286045,UC685672,giant apical bud,"yes, cauline with basal morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1943,,,,,"berkeley;exact dup 1368038, OR 2423815",
BAYS,1940s,1368038,DAV010561,5 axillary buds,"yes, cauline w/ intermediate morphology",y,y-N,25_140,16.2,125,2.03,2.16,y,,,1943,,,,,berkeley,yes
BAYS,1940s,2423815,74252,4 axillary buds,"yes, cauline with basal morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1943,,,,,,
BAYS,1940s,2324177,74208,"1 axillary bud cluster, 1 terminal bud cluster",no,,y-N,26_077,4.95,52.7,1.98,2.28,y,,,1946,,,,,stanf,
BAYS,1940s,2390070,74348,3 large axillary bud cluster,"yes, basal",,y-N,26_054,27.8,201.1,2.07,2.61,y,,,1949,,,,,stanf,
BAYS,1940s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
BAYS,1950s,765477,RSA0191243,4 terminal bud clusters,"yes, basal",,,,,,,,,,,1950,,,,,,
BAYS,1950s,2292239,74194,"2 axillary buds, 1 terminal bud cluster","yes, basal",,y-N,26_053,60.7,455.7,2.11,2.43,y,,,1950,,,,,sf,
BAYS,1950s,2270810,74353,"1 large axillary bud, 1 terminal bud cluster","yes, cauline with basal morphology",y, y-N,25_141,LOW,7.8,1.6,1.34,n,,,1950,,,,,santa cruz; OR 2334980/2450089,
BAYS,1950s,2334980,74356,"4 axillary buds, 4 terminal bud clusters","yes, cauline with cauline morphology ",,y-N,25_207,3.29,22.2,1.79,1.96,y!,,,1950,,,,,,yes
BAYS,1950s,2450089,74197,"2 axillary buds, 2 bud clusters","yes, cauline, with cauline morphology ",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1950,,,,,,
BAYS,1950s,2311342,74195,4 axillary bud clusters,"yes, basal",,y-N,26_056,12.3,157.1,2.11,2.65,y,,,1952,,,,,sf,
BAYS,1950s,753633,RSA0191300,"3 axillary buds, 1 terminal bud cluster","yes, unknown but appears to have intermediate morphology",,,,,,,,,,,1952,,,,,,
BAYS,1950s,2275918,74350,4 axiallary buds,"yes, cauline w/ intermediate morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1953,,,,,stanf,
BAYS,1950s,2380407,74360,3 axiallary buds,"yes, cauline w/ intermediate morphology",,y-N,26_080,27.4,50.7,1.82,2.3,y,,,1954,,,,,santa cruz,
BAYS,1950s,2321963,74308,3 axillary buds,"yes, cauline with intermediate morphology",,,,,,,,,,,1955,,,,,monterey,
BAYS,1950s,2437632,74321,"1 large axillary bud, 1 little leaf ","yes, basal",,y-N,25_159,22,41.6,1.83,1.02,y,,,1956,,,,,sf,
BAYS,1950s,2287008,74320,4 axiallary buds,"yes, cauline w/ intermediate morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1956,,,,,sf,
BAYS,1950s,2399359,74349,"3 axillary buds, 1 terminal bud cluster","yes, basal",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1956,,,,,stanf,
BAYS,1950s,2412262,74328,4 axiallary buds,"yes, basal",,y-N,25_160,2.41,13.1,1.03,1.73,y,,,1957,,,,,sf,yes
BAYS,1950s,2316628,74323,3 terminal  bud clusters,"yes, basal",,,,,,,,,,,1957,,,,,sf,
BAYS,1950s,2377415,74330,3 terminal  bud clusters,"yes, cauline with intermediate morphology",,,,,,,,,,,1958,,,,,sf,
BAYS,1960s,2406304,74326,3 axiallary buds,"yes, cauline w/ intermediate morphology",,,,,,,,,,,1960,,,,,sf,
BAYS,1960s,2409497,74291,"1 axillary bud, 1 terminal bud cluster","yes, basal",,y-N,25_161,11.5,10,1.76,1.45,y,,,1961,,,,,tiburon; OR 2333212,
BAYS,1960s,2333212,74290,3 axillary bud clusters,"yes, cauline with basal morphology ",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1961,,,,,,
BAYS,1960s,5504863,684502,3 axillary buds,"yes, basal ",,y-N,26_083,1.33,14.7,1.8,3.02,,,,1962,,,,,hayward,
BAYS,1960s,2388759,74306,"2 axillary buds, 2 little leaves","yes, cauline with basal morphology",,y-N,26_060,7.77,169.3,2.12,2.69,,,,1963,,,,,monterey,
BAYS,1960s,5569677,684520,2 big bud clusters ,"yes, basal",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1964,,,,,hayward,
BAYS,1960s,5504872,684511,4 axillary buds,"yes, basal",y,y-N,25_142,7.64,36.9,1.89,1.78,y,,,1966,,,,,hayward; OR 5569679/5569678/5504864,yes
BAYS,1960s,5504864,684503,3 axillary buds,"yes, basal ",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1966,,,,,hayward,
BAYS,1960s,5569679,684522,3 bud clusters,"yes, basal ",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1966,,,,,hayward,
BAYS,1960s,5569678,684521,"3 bud clusters, a few loose buds ","yes, basal",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1966,,,,,hayward,
BAYS,1960s,3428915,UC1327247,2 bud clusters,"yes, cauline with basal morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1966,,,,,marin,
BAYS,1960s,5569674,684517,3 axillary buds,"yes, basal",,y-N,25_162,1.72,15.3,1.81,1.83,y,,,1967,,,,,east bay; OR 2414047,
BAYS,1960s,2414047,74255,"3 axillary buds, 1 terminal bud cluster","yes, cauline with intermediate morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1967,,,,,east bay,
BAYS,1960s,2328064,74256,"4 axillary buds, 1 little leaf","yes, cauline with basal morphology",,y-N,25_163,22.9,83.2,1.93,2.16,y,,,1968,,,,,east bay: OR 2328064,
BAYS,1960s,2290954,74257,3 axillary buds,"yes, cauline with basal morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1968,,,,,,
BAYS,1960s,2290218,74286,2 terminal bud clusters,"yes, basal",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1969,,,,,,
BAYS,1970s,5504865,684504,3 axillary buds,"yes, basal ",,y-N,26_084,14.1,46.7,1.91,2.13,,,,1970,,,,,east bay,yes generally for year and region
BAYS,1970s,5504866,684505,2 large axillary ,"yes, basal",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1971,,,,,hayward,
BAYS,1970s,5569852,685180,"3 axillary bud, 1 terminal","yes, basal",,y-N,25_164,15.5,31.3,1.74,1.72,y,,,1972,,,,,ano nuevo; OR 5569853,
BAYS,1970s,5569853,685181,3 axiallary buds,"yes, basal",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1972,,,,,,
BAYS,1970s,5504868,684507,4 axiallary buds,"yes, cauline with intermediate morphology",,y-N,26_093,1.49,11.5,1.79,1.4,,,,1973,,,,,,
BAYS,1970s,2395241,74351,"3 axillary bud, 1 little leaf","yes, cauline with basal morphology",,y-N,26_094,x,325,2.08,2.32,,,,1974,,,,,stanf ish,
BAYS,1970s,5504870,684509,2 axillary bud,"yes, basal",,y-N,26_095,x,51.8,1.97,2.06,,,,1975,,,,,haywayd,
BAYS,1980s,5569681,684524,3 axillary buds,"yes, basal",,y-N,26_096,x,53.7,1.87,2.23,,,,1982,,,,,,
BAYS,1980s,4064454,UCSC100000696,bud clusters,"yes, cauline with basal morphology",,y-N,25_211,41.6,63.6,1.84,2.04,y,,,1983,,,,,santa cruz,
BAYS,1980s,5043016,656433,3 axillary buds,"yes, cauline with intermediate morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1984,,,,,haywayd,
BAYS,1980s,2369553,74236,"3 axillary buds, 1 little leaf ","yes, cauline with basal morphology ",,y-N,26_098,4.74,28,1.87,2.05,,,,1985,,,,,sonoma,
BAYS,1980s,469018,SD00062710,6 axillary buds,"yes, basal",,y-N,25_165,14.8,39.4,1.9,2.14,y,,,1986,,,,,sonoma,yes
BAYS,1990s,2079339,CHSC075075,"3 axillary bud, 1 little leaf","yes, cauline w/ intermediate morphology",,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1987,,,,,walnut creek,
BAYS,1980s,4947933,US 3492194,0,0,,y-N,26_102,x,74.3,1.82,2.37,,,,1989,,,,,marin,
BAYS,1990s,469036,SD00062659,3 axiallary buds,"yes, cauline w/ intermediate morphology",,y-N,26_097,2.64,17.6,1.97,2.42,,,,1990,,,,,monterey,
BAYS,1990s,232773,UCSC100000691,axillary bud clusters +,"yes, cauline, not basal morphology",,y-N,25_212,48.1,65.8,1.86,2.19,y,,,1993,,,,,santa cruz,
BAYS,1990s,1537502,UCR0083394,"3 axillary bud, 1 terminal","yes, cauline with basal morphology",,y-N,26_099,x,71.1,1.84,2.32,,,,1994,,,,,monterey,
BAYS,1990s,3324477,UC2027737,"4 bud clusters, little leaf","yes, cauline with basal morphology",,y-N,26_100,x,64.4,1.83,2.21,,,,1997,,,,,,
