id,catalogNumber,institutionCode,specificEpithet,year,month,county,decimalLatitude,decimalLongitude,selected,nearest_id,nearest_km,cohort,sampled,nearest_sampled
469056,SD00062751,SD,sativus,2005,3,San Diego,33.0253,-117.1275,y,1368057,7.055349388,new,n,n
469087,SD00062587,SD,sativus,2005,8,San Diego,32.9372,-117.1389,y,1368057,10.97960103,new,n,n
469074,SD00062643,SD,sativus,2005,3,San Diego,32.964,-117.0705,y,1368057,13.84935501,new,n,n
469076,SD00062642,SD,sativus,2005,6,San Diego,32.9416,-117.0873,y,1368057,13.88015688,new,n,n
469030,SD00062661,SD,sativus,2003,6,San Diego,32.81611,-116.76,y,2366615,13.84829393,new,n,n
469068,SD00062560,SD,raphanistrum,2004,4,San Diego,32.9734,-116.5727,y,2366615,18.85972049,new,n,n
3774848,SD00033973,SD,raphanistrum,2012,2,Los Angeles,33.0273,-118.5884,y,3553698,16.35921312,new,n,n
3774849,SD00033974,SD,raphanistrum,2012,2,Los Angeles,33.0273,-118.5884,y,3553698,16.35921312,new,n,n
468965,SD00062745,SD,sativus,1935,6,San Diego,32.73946,-117.24245,y,1239382,3.853732616,old,n,n
390689,SDSU16487,SDSU,sativus,2005,3,San Diego,33.2675,-117.23306,y,468981,9.315944138,new,n,n
388498,SDSU14182,SDSU,sativus,2002,4,Riverside,33.45639,-117.16944,y,884140,8.921469818,new,n,n
611759,SFV104580,SFV,sativus,2001,1,Los Angeles,34.17422222,-118.1671111,y,712565,4.830611858,new,n,n
3611826,,SHTC,raphanistrum,2016,4,San Joaquin,37.772235,-121.176486,y,4940224,20.48431048,new,n,n
3612398,,SHTC,raphanistrum,2016,4,Stanislaus,37.463993,-121.166285,y,4940224,23.61921472,new,n,n
3553698,UC557711,UCJEPS,raphanistrum,1936,4,Los Angeles,32.9,-118.5,y,5967039,16.35921312,old,n,n
3539396,UC1543096,UCJEPS,sativus,1936,5,Orange,33.870014,-117.980883,y,6048990,5.915577977,old,n,n
1578414,UCR0083364,UCR,sativus,2005,6,San Diego,33.16861,-117.35833,y,468981,7.736436018,new,n,n
1603927,UCR0083399,UCR,sativus,2007,3,Sacramento,38.54,-121.04389,y,1368001,23.34008015,new,n,n
4058869,65350,UNLV,sativus,2012,3,Yolo,38.677222,-121.670278,y,4095407,19.21512923,new,n,n
4940224,US 2000728,US,sativus,1935,2,Stanislaus,37.63949,-121.0151,y,3618936,19.03967317,old,n,n
2966793,YOSE225087,YM,raphanistrum,2009,7,Mariposa,37.740601,-119.603385,y,2970754,1.732298903,new,n,n
2970754,YOSE65260,YM,sativus,1927,6,Mariposa,37.726438,-119.611642,y,2966793,1.732298903,old,n,n
2338864,74333,CAS,sativus,1936,7,San Luis Obispo ,35.36771,-120.84492,y,2252335,4.231522907,old,y,n
2449627,74280,CAS,sativus,1932,1,Los Angeles ,34.11712,-117.86652,y,3841582,5.11322921,old,y,n
2134739,CHSC114899,CHSC,sativus,2009,11,Sacramento,38.4825,-121.470278,y,4095407,10.4396136,new,y,n
1336457,DAV300678,DAV,raphanistrum,2009,4,Yolo,38.64144812,-121.7218696,y,4095407,21.3188323,new,y,n
1336458,DAV310437,DAV,raphanistrum,2009,4,Yolo,38.64144812,-121.7218696,y,4095407,21.3188323,new,y,n
3792179,FSC0010464,FSC,raphanistrum,1940,4,Madera,36.876597,-119.791727,y,4095384,14.19105121,old,y,n
202449,OBI101734,OBI,raphanistrum,2001,5,San Luis Obispo,35.32604,-120.75759,y,2772133,2.134263594,new,y,n
83203,SBBG213838,SBBG,sativus,1928,4,Los Angeles,34.146,-118.211,y,613793,1.920644471,old,y,n
469175,SD00062722,SD,sativus,2012,2,San Diego,32.773,-117.221,y,468965,4.227968293,new,y,n
469038,SD00062686,SD,sativus,2003,4,San Diego,32.69028,-117.24917,y,468965,5.490299668,new,y,n
469163,SD00062698,SD,sativus,2012,2,San Diego,32.8143,-117.25377,y,468976,1.22977826,new,y,n
469152,SD00062702,SD,sativus,2014,4,San Diego,33.42007,-117.57031,y,468978,4.325582818,new,y,n
469113,SD00062733,SD,sativus,2007,5,San Diego,33.24587,-117.27584,y,468981,4.714700712,new,y,n
469114,SD00062734,SD,sativus,2006,7,San Diego,33.21111,-117.37611,y,468981,5.410392647,new,y,n
5934188,SD00083704,SD,sativus,2023,5,San Diego,33.2084,-117.3899,y,468981,6.706750907,new,y,n
469157,SD00062726,SD,sativus,2008,5,San Diego,33.0151,-117.214,y,1368057,1.195425816,new,y,n
3620051,SD00025459,SD,sativus,2017,4,San Diego,33.00921,-117.2255,y,1368057,2.452346875,new,y,n
469085,SD00062638,SD,sativus,2005,4,San Diego,32.8081,-116.6589,y,2366615,4.343718777,new,y,n
469151,SD00062705,SD,sativus,2011,5,San Diego,32.9583,-116.6516,y,2366615,17.20532503,new,y,n
469067,SD00062648,SD,sativus,2005,5,San Diego,32.972,-116.5693,y,2366615,18.77354976,new,y,n
469069,SD00062559,SD,raphanistrum,2004,5,San Diego,32.9734,-116.5727,y,2366615,18.85972049,new,y,n
468996,SD00062799,SD,sativus,1931,4,Los Angeles,33.92241,-118.42313,y,5976409,3.493447672,old,y,n
389892,SDSU15680,SDSU,sativus,2003,4,San Diego,32.69028,-117.24917,y,468965,5.490299668,new,y,n
3349335,JEPS127092,UCJEPS,raphanistrum,2016,4,Contra Costa,37.825822,-121.759406,y,1110471,23.93972945,new,y,n
3400832,JEPS111867,UCJEPS,sativus,2004,6,Solano,38.131389,-122.223333,y,2197161,4.608320434,new,y,n
3433650,UC1126749,UCJEPS,sativus,1935,4,Santa Cruz,36.9975,-122.1356,y,240127,6.154912923,old,y,n
3499442,JEPS53815,UCJEPS,sativus,1927,5,San Diego,33.12177,-117.06739,y,469086,4.211600292,old,y,n
3444193,UC596419,UCJEPS,raphanistrum,1935,1,Stanislaus,37.7665732,-120.8471132,y,3618669,19.41476148,old,y,n
3262100,UC765025,UCJEPS,raphanistrum,1935,1,Stanislaus,37.6390744,-120.9968354,y,3618936,17.79838382,old,y,n
3335398,UC765016,UCJEPS,sativus,1935,2,Stanislaus,37.6390744,-120.9968354,y,3618936,17.79838382,old,y,n
3306212,UC1126752,UCJEPS,sativus,1935,5,Santa Cruz,37.053074,-122.194561,y,3641757,2.760325988,old,y,n
3310288,UC606739,UCJEPS,sativus,1936,4,Contra Costa,37.926667,-122.433333,y,4095406,22.26827778,old,y,n
3293792,UC1126754,UCJEPS,sativus,1936,3,San Luis Obispo,35.26672,-120.624855,y,4095416,4.734446325,old,y,n
1606153,UCR0083333,UCR,sativus,2007,3,Los Angeles,34.16389,-118.02194,y,712565,9.257585147,new,y,n
1548194,UCR0083344,UCR,sativus,2003,5,Riverside,33.56556,-117.11833,y,884140,5.909767579,new,y,n
1699178,UCR0083323,UCR,sativus,2017,3,Los Angeles,34.12569,-118.34367,y,981549,3.171077125,new,y,n
1675351,UCR0083329,UCR,sativus,2010,2,Los Angeles,34.27222,-118.36583,y,981549,17.87454817,new,y,n
1676594,UCR0083326,UCR,sativus,2010,2,Los Angeles,34.27222,-118.36583,y,981549,17.87454817,new,y,n
1675373,UCR0083327,UCR,sativus,2010,3,Los Angeles,34.27417,-118.37306,y,981549,18.0776028,new,y,n
1675381,UCR0083328,UCR,sativus,2010,3,Los Angeles,34.27417,-118.37306,y,981549,18.0776028,new,y,n
1635838,UCR0083340,UCR,sativus,2003,1,Orange,33.63972,-117.84528,y,983573,23.30569361,new,y,n
