id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references,X,X.1,X.2,X.3,X.4,X.5,X.6
2465731,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74262,74262,urn:catalog:CAS:DS:18736,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Heller, A. A.",,11203,3/16/14,,1914,3,16,75,NA,16-Mar-14,It is rather common.,"Moist cultivated ground, low hills.",,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Butte,,Low hills 8 miles north of Oroville.,,0,NA,39.63764,-121.56677,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 16:23,urn:catalog:CAS:BOT-BC:74262,1,8a068263-ff50-4918-af03-04d180c75c65,https://cch2.org/portal/collections/individual/index.php?occid=2465731,,,NA,NA,NA,NA,
2363992,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74220,74220,urn:catalog:CAS:DS:73784,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Stinchfield, Roxana",,438,7/11/16,,1916,7,11,193,NA,11-Jul-16,,Grainfields.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Colusa,,Stinchfield Ranch near Sycamore.,,0,NA,39.13277,-121.95056,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 12:35,urn:catalog:CAS:BOT-BC:74220,1,494a954b-8353-428c-881a-aee4f5c0e2c2,https://cch2.org/portal/collections/individual/index.php?occid=2363992,,,NA,NA,NA,NA,
2413972,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74264,74264,urn:catalog:CAS:DS:151048,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Heller, A. A.",,13828a,10/13/23,,1923,10,13,286,NA,13-Oct-23,Seedlings.,In damp soil in the Valley oak belt.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Butte,,Along the highway near Richvale.,,0,NA,39.49393,-121.74501,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 16:25,urn:catalog:CAS:BOT-BC:74264,1,5d7be789-7141-451f-afaa-c06b9a8cea29,https://cch2.org/portal/collections/individual/index.php?occid=2413972,,,NA,NA,NA,NA,
2288164,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74192,74192,urn:catalog:CAS:BOT:705583,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Smith, L. S.",,1750,3/31/26,,1926,3,31,90,NA,31-Mar-26,Scattered.,"Burn. Dry, loose, ashes and gravel. In timber.",,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Nevada,,"Tahoe Forest. Near Central House, top of ridge.",,0,NA,39.325833,-120.880278,,,NA,,,,,,,1158,NA,NA,NA,NA,3800.0000000000 ft,,en,,5/13/11 11:31,urn:catalog:CAS:BOT-BC:74192,1,f64d8cfa-9d56-43bd-8dca-eebb7ab22f57,https://cch2.org/portal/collections/individual/index.php?occid=2288164,,,NA,NA,NA,NA,
1368001,DAV,Vascular Plants,,PreservedSpecimen,UCD115176,DAV310417,Accession #: DAV2629,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Bellue-Goodwin,,s.n.,6/10/32,,1932,6,10,162,NA,10-Jun-32,Access Database Number (Deprecated): UCD115176,,,Common name: wild radish.,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Sacramento,,Sacramento .,,0,NA,38.50734,-121.30829,WGS84,,44500,,UCDavis A,,GoogleMaps via BerkeleyMapper,,Date Georeferenced: Mon Sep 30 12:53:38 2013,NA,NA,NA,NA,NA,,,,tcbarry,4/12/23 0:18,UCD115176,39,53c7b683-6e99-4828-91dd-b0566263c2e6,https://cch2.org/portal/collections/individual/index.php?occid=1368001,,,NA,NA,NA,NA,
2384991,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74230,74230,urn:catalog:CAS:DS:220624,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,Bellue; Goodwin,,s.n.,6/10/32,,1932,6,10,162,NA,6/10/32,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Sacramento,,Unspecified.,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 13:03,urn:catalog:CAS:BOT-BC:74230,1,b8221783-d11f-4c92-875c-e8c7c0f89e42,https://cch2.org/portal/collections/individual/index.php?occid=2384991,,,NA,NA,NA,NA,
2061482,CHSC,VascularPlants,,PreservedSpecimen,d448611d-bb36-4b00-a22d-65de55804496,CHSC000533,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,R.E. Preston,1/4/82,,,,,NA,V. Holt,,,3/27/35,,1935,3,27,86,NA,3/27/35,Vesta Holt label.,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Butte,,"Sandy Gulch, Chico.",,0,NA,39.730278,-121.901111,NAD83,,201,39ß 43m 49s N; 121ß 54m 4s W,Bill Carlson,,,,,55,NA,NA,NA,NA,180ft.,,,,4/12/23 0:18,,44,d448611d-bb36-4b00-a22d-65de55804496,https://cch2.org/portal/collections/individual/index.php?occid=2061482,,,NA,NA,NA,NA,
3444193,UCJEPS,VASC,,PreservedSpecimen,458843b0-d68b-4b13-93ed-b00fbefa8d49,UC596419,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,R. F. Hoover,,194,1/6/35,,1935,1,6,6,NA,Jan 6 1935,,,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Stanislaus,,Oakdale,,0,NA,37.7665732,-120.8471132,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:50,UC596419,46,fed9f286-9242-4c7a-b735-cce37b0cd47a,https://cch2.org/portal/collections/individual/index.php?occid=3444193,,,NA,NA,NA,NA,
3262100,UCJEPS,VASC,,PreservedSpecimen,91655a99-9bca-4742-a477-50a6a64fc596,UC765025,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,Robert F. Hoover,,195,1/10/35,,1935,1,10,10,NA,Jan 10 1935,,,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Stanislaus,,Modesto,,0,NA,37.6390744,-120.9968354,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:41,UC765025,46,d823627d-0a82-459c-b85d-142d21ace249,https://cch2.org/portal/collections/individual/index.php?occid=3262100,,,NA,NA,NA,NA,
3335398,UCJEPS,VASC,,PreservedSpecimen,3634bd75-ee1c-4229-8241-13f7d4304adf,UC765016,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Robert F. Hoover,,223,2/8/35,,1935,2,8,39,NA,Feb 8 1935,,,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Stanislaus,,Modesto,,0,NA,37.6390744,-120.9968354,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/4/21 8:21,UC765016,46,8444c5c4-5e56-4fbd-a95c-f69789090a7c,https://cch2.org/portal/collections/individual/index.php?occid=3335398,,,NA,NA,NA,NA,
