id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references,period
2463835,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74205,74205,urn:catalog:CAS:BOT:178454,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,"Hoffmann, Ralph",,s.n.,6/15/30,,1930,6,15,166,NA,"June 15, 1930.",,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Santa Barbara ,,Santa Cruz Island. Smuggler's Cove.,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 12:09,urn:catalog:CAS:BOT-BC:74205,1,9acc2eb8-4cea-4315-b243-82e3f28c9b6d,https://cch2.org/portal/collections/individual/index.php?occid=2463835,1915–1940
2384991,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74230,74230,urn:catalog:CAS:DS:220624,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,NA,Bellue; Goodwin,,s.n.,6/10/32,,1932,6,10,162,NA,6/10/32,,,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Sacramento ,,Unspecified.,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,en,,5/13/11 13:03,urn:catalog:CAS:BOT-BC:74230,1,b8221783-d11f-4c92-875c-e8c7c0f89e42,https://cch2.org/portal/collections/individual/index.php?occid=2384991,1915–1940
375698,SDSU,,,PreservedSpecimen,a7ed7764-9640-41b3-be61-b32f2b7e4464,SDSU01221,01221,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,"Bastlin, Julia R.",,868,4/20/27,,1927,4,20,110,NA,4/20/27,,Waste places. San Diego vacant lot.,,Wild Radish.?,NA,NA,NA,NA,NA,,,NA,NA,,,,0,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,San Diego,,,No Locality No Locality information,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,preprocessed,4/12/23 0:18,,6,a7ed7764-9640-41b3-be61-b32f2b7e4464,https://cch2.org/portal/collections/individual/index.php?occid=375698,1915–1940
3272683,UCJEPS,VASC,,PreservedSpecimen,e606d525-a82a-4b38-998d-36e5cb4b1444,UC520022,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,Joseph A. Ewan,,7428,4/30/32,,1932,4,30,121,NA,Apr 30 1932,,on grassy hillside above creek; Upper Sonoran Zone,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Los Angeles,,above Balllona Creek (Baldwin Hills); Baldwin Hills,,0,NA,NA,NA,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:34,UC520022,46,6fa3137f-8e62-4595-b0c8-d8250ec38682,https://cch2.org/portal/collections/individual/index.php?occid=3272683,1915–1940
