Lab_ID,CCH2_ID,Herbarium_ID,year,tiss_wt.mg,tiss_type,tissue_notes,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,Nano_curve,gel?,gel_notes,other_notes,date_extracted,usable?,importance,priority
25_060,,UCSC100006681,2020,3.9,axiallary bud,2 axiallary buds,39.7,,,,,,,"saved tissue, accurate weight",250809,y,,
25_063,3475357,JEPS100009,2003,4.5,axiallary bud,3 axiallary buds,2.25,,,,,,,"saved tissue, accurate weight",250809,y,,
25_064,3400832,JEPS111867,2004,12.4,bud cluster,1 huge bud cluster,1.21,,,,,,,"saved tissue, accurate weight",250809,m,,
25_065,3349335,JEPS127092,2016,12,axiallary bud + leaf,"2 axiallary buds, tiny leaf",5.74,,,,,,,"saved tissue, inaccurate weight",250809,y,,
25_066,5509705,UC2082406,2016,6.9,axiallary bud,2 axiallary buds,17.7,,,,,,,"saved tissue, accurate weight",250809,y,,
25_067,5549192,SDSU25094,2021,9.7,axiallary bud,1 massive axiallary bud,44.9,,,,,,,"saved tissue, accurate weight",250809,y,,
25_068,3753225,SDSU15560,2000,2,axiallary bud,2 axiallary buds,1.97,,,,,,,"saved tissue, accurate weight",250809,m,,
25_069,389892,SDSU15680,2003,2.8,bud +leaf,"2 axiallary buds, 1 little leaf",3.7,,,,,,,"saved tissue, accurate weight",250809,y,,
25_070,393682,SDSU19512,2010,2.8,bud clusters,1 axiallary bud 1 terminal bud cluster,1.88,,,,,,,"saved tissue, accurate weight",250809,m,,
25_071,394122,SDSU19952,2012,5,buds,12  flower buds,4,,,,,,,"accurate weight, no extra tissue",250809,y,,
25_072,394165,SDSU19995,2012,3.5?,bud +leaf,"10 buds, 2 tiny leaves",2.41,,,,,,,"no extra tissue, inaccurate weight",250809,y,,
25_073,395628,SDSU21677,2016,7.2,bud clusters,2 terminal bud clusters,36.4,,,,,,,"saved tissue, accurate weight",250809,y,,
25_074,469031,SD00062660,2003,3,"axiallary buds, bud cluster","2 axiallary buds, 1 terminal bud cluster",2.07,,,,,,,"saved tissue, accurate weight",250809,y,,
25_075,469119,SD00062784,2008,2,bud cluster,1 terminal bud cluster,1.09,,,,,,,"saved tissue(1 large bud), accurate weight",250809,m,,
25_076,469025,SD00062738,2000,3.4,"axiallary buds, bud cluster","3 axiallary buds, 1 tiny terminal bud cluster",5.59,,,,,,,"saved tissue, accurate weight",250809,y,,
25_077,469078,SD00062639,2004,3.1,axiallary bud,3 axiallary buds,,,,,,,,"saved tissue, accurate weight",251027,,,
25_078,469111,SD00062628,2007,~8,axiallary bud,4 axillary buds,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_079,469136,SD00062776,2012,4.1,axiallary bud,4 axillary buds,,,,,,,,"saved tissue, accurate weight",251027,,,
25_080,469107,SD00062630,2007,~46,axiallary bud,1 massive axiallary bud,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_081,3700299,SD00029907,2017,1.3,axiallary bud,5 tiny axillaty buds,,,,,,,,"saved tissue, accurate weight",251027,,,
25_082,469176,SD00062725,2016,5.2,bud clusters,3 terminal bud clusters,,,,,,,,"saved tissue, accurate weight",251027,,,
25_083,469079,SD00062691,2005,20,axiallary bud,1 massive axiallary bud,,,,,,,,"saved tissue, accurate weight",251027,,,
25_084,469055,SD00062752,2004,3.7,axiallary bud,3 axiallary buds,,,,,,,,"saved tissue, accurate weight",251027,,,
25_085,469139,SD00062706,2012,~3,,few axillary and one floral bud cluster,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_086,469126,SD00062682,2006,~20,bud clusters,3 terminal bud clusters,,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_087,469065,SD00062735,2005,~20,,"2 axillary buds, 1 terminal bud cluster",,,,,,,,"no extra tissue, inaccurate weight",251027,,,
25_088,469040,SD00062685,2004,~13,,"3 axillary bud, 1 terminal",,,,,,,,"no extra tissue, inaccurate weight",251027,,,
