id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,
124275,SBBG,,,PreservedSpecimen,b8a98e40-6467-47fe-9de9-f3a03676f234,SBBG213850,SBBG_old: 134351,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,"R. Burgess, B. Meiners",,9771,2/16/15,,2015,2,16,47,,2/16/15,common,clay loam; E-facing slope; full sun; oak woodland/annual grassland,,upright ann; 7-8 dm tall; petals pale yellow,,,,,,,,,,"Erodium brachycarpum, Senecio vulgaris, Avena",Flowers Present,,,,,,,,,,,,,United States,California,Ventura,,"oak woodland between Krotona Hill and Hwy 33, Ojai Valley",,0,,34.43475,-119.2753,NAD83,,200,,Collector,,Label (GPS),,,,,,,,720 ft,,,,9/25/18 1:01,,16,05dc85f2-462e-4ed0-b48f-636646e1b660,https://cch2.org/portal/collections/individual/index.php?occid=124275
130694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202449,OBI,,,PreservedSpecimen,449ba107-c81d-4572-80af-20ff96c9a1ea,OBI101734,64841,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,,raphanistrum,,,Species,,,,,,,,David J. Keil,,29407,5/3/01,,2001,5,3,123,,3-May-01,,Occasional in open pasture,,"Corolla yellow. Also present are white, purple, and apricot-colored forms. Perhaps hybrid with R. sativus",,,,,,,,,,,,,,,,,,pressed herbarium specimen,,,,,,United States,California,San Luis Obispo,,"Campus of California Polytechnic State University. Chorro Creek Ranch south of Highway 1, west of Cuesta College campus. Ca. 35.32604∞N x 120.75759∞W",,0,,35.32604,-120.75759,WGS84,,75,,UCBerkeley M,,Google Earth,,georef from old CCH cumulative file,,,,,,,,,preprocessed,4/16/13 0:00,,12,e28c9276-3e22-41d7-801e-2d8a8c2cf5dc,https://cch2.org/portal/collections/individual/index.php?occid=202449
202453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202480,OBI,,,PreservedSpecimen,10e64129-76c7-489f-8082-2599253cd0aa,OBI101761,64310,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Margaret Przybylski,,93,4/3/04,,2004,4,3,94,,3-Apr-04,,Oak woodland/ ruderal.,,Fls purple and white; lvs pinnately lobed,,,,,,,,,,,,,,,,,,pressed herbarium specimen,,,,,,United States,California,Alameda,,"The Oakland Zoo, E of main parking lot in rolling hills. Near gate to upper zoo land",,0,,37.751459,-122.144718,WGS84,,688,,Kyran1123 (2020-02-07 16:17:21),,georef batch tool 2020-02-07; GeoLocate,reviewed - high confidence,made a polygon around the Oakland Zoo and used it for the uncertainty.,122,,,,,,,,,4/16/13 0:00,,12,ce74accd-f860-4a74-a97c-a4cb5a09ab19,https://cch2.org/portal/collections/individual/index.php?occid=202480
202483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215180,OBI,,,PreservedSpecimen,039632d3-f152-460f-aa95-5665e425a64a,OBI101741,83785,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Monika Richardson,Kristy Peterson,73,7/12/17,,2017,7,12,193,,7/12/17,Occurring in a disturbed area to the side of the road.,Ruderal,Soil,Herb with white pink flowers and four petals forming a cross shape.,,,,,,,,,,Festuca perennis,,,,,,,,pressed herbarium specimen,,,,,,United States,California,Santa Cruz,,Growing off of Swanton Road,,0,,37.059761,-122.225633,WGS84,,,,Collector,,,,,30,40,,,,,,,Monikaii,9/21/17 14:50,,12,92f90e16-693d-40f0-b514-1a6777581701,https://cch2.org/portal/collections/individual/index.php?occid=215180
216778,OBI,,,PreservedSpecimen,818c6c7b-fd81-480d-a267-25e3df48732a,OBI101740,83377,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,David Keil,,33870,3/24/16,,2016,3,24,84,,24-Mar-16,Single many-branched individual at edge of dirt road across annual-weed-dominated field,"Mosaic of coast live oak woodland, coastal scrub, grassland, weed-dominated herb-land, and narrow riparian corridors along ephemeral streams",,"Petals proximally white, distally purple",,,,,,,,,,,,,,,,,,pressed herbarium specimen,,,,,,United States,California,San Luis Obispo,,Southern foothills of San Luis Range. Wild Cherry Ranch west of Avila Beach.,,0,,35.187084,-120.746349,,,,Vicinity of; 35.187084∞ -120.746349∞,,,collector,,,100,,,,,15-100 m,,,preprocessed,11/29/17 18:40,,12,0cd2fc71-72b6-4922-900c-5c85481aa3de,https://cch2.org/portal/collections/individual/index.php?occid=216778
229779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238791,UCSC,,,PreservedSpecimen,0e89c3f3-6d40-49ea-9d08-a253f2ad7837,UCSC100000690,9443,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Collector,5/12/15,,,,,,"D. Styer, J. Styer",,749,5/12/15,,2015,5,12,132,,5/12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,California,Monterey,,"Ft. Ord National Monument (Region K6, Eucalyptus Road)",,0,,36.6294,-121.7277,WGS84,,1420,,C. Hauser,,"GPS dataset, by David Styer, 2 December 2020.",,Point at center of Styer's Region K6.,,,,,,,,,ebarnett,11/3/16 14:25,,13,09970f16-14bb-4bc0-9e73-7df37b809314,https://cch2.org/portal/collections/individual/index.php?occid=238791
254946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292533,UCSB,,,PreservedSpecimen,7c59aa6f-a48e-48b1-a1b4-612e857abe3f,UCSB038863,67916Â ,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,,raphanistrum,,,Species,,,,,,,,"Emard, Lydia",,AH67,5/27/07,,2007,5,27,147,,,,,,,,,,,,,,,,,,,,,,,,Sheet - 1,,,,,,United States,California,Santa Barbara,,"Arroyo Hondo Preserve, 65 yards no. of parking lot, 20 ft west of road",,0,,34.47777,-120.14166,WGS84,,,"34.47777∞ N, 120.14166∞ W",,,GPS,,,,,,,,,,,,10/30/14 14:42,,35,8ebb73d3-2b82-438e-a699-39ca12bbe05a,https://cch2.org/portal/collections/individual/index.php?occid=292533
293450,UCSB,,,PreservedSpecimen,fc2bd1f4-1a5d-11e3-b49f-525400a0a001,UCSB032040,65270,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,David L. Magney,Cher Wellonen,ABF-96-01,4/2/01,,2001,4,2,92,,,,"Disturbed (in early 1999); assoc. species Erodium cicutarium, Heterotheca grandiflora; ruderal, roadside",,,,,,,,,,,,,,,,,,,,Sheet - 1,,,,,,United States,California,Santa Barbara,,"Outer South Coast Ranges; Orcutt Quad., T9N, R35W, Punta De La Laguna, San Bernardino Bm; between Solomon & Black Roads (~280-ac site); N of SR1, S of Santa Maria Airport, W of Orcutt, along farm road near SR1",,0,,34.88,-120.4816667,WGS84,,,"34∞ 52.8' N, 120∞ 28.9' W",,,,,,,,,,,,,,,6/11/14 9:26,,35,e53c9b0c-8c61-4198-ad75-9cebae46dd05,https://cch2.org/portal/collections/individual/index.php?occid=293450
304541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
