id_formula,id,institutionCode,catalogNumber,year,DNA tissue,leaf_tissue,flw_color,notes,spp notes,resprout notes,,,tissue collected date
1654228,1654228,UCR,UCR0083408,2012,"1 big axillary bud cluster, few other buds and lil leaf","yes, cauline w/ intermediate morphology",purple on sheet,,,no evidence of resprout,,,10/20/25
1667093,1667093,UCR,UCR0083355,2012,1 terminal bud clusters,no,no flowers,likely bad and v little dna tissue,,no evidence of resprout,,,10/22/25
1654256,1654256,UCR,UCR0083383,2012,3 axiallary buds,"yes, cauline w/ intermediate morphology",purple on sheet,,,no evidence of resprout,,,10/22/25
1655320,1655320,UCR,UCR0083384,2012,3 axiallary buds,"yes, basal",white with purple bleeding veins on sheet,,,definitievely not a resprout,,,10/22/25
1655697,1655697,UCR,UCR0083391,2012,3 axiallary buds,"yes, cauline w/ intermediate morphology",white dark veins on sheet,,,no evidence of resprout,,,10/22/25
1654175,1654175,UCR,UCR0083397,2012,"2 axillary bud, 2 terminal bud cluster","yes, basal ",white dark veins on sheet,,,definitievely not a resprout,,,10/22/25
1372819,1372819,DAV,DAV300679,2012,"2 axiallary bud2, 1 terminal bud cluster","yes, basal ",yellow light veins on sheet and label,,,definitievely not a resprout,,,
236311,236311,UCSC,UCSC100000688,2013,2+ axillary bud clusters + extra buds,"yes, basal","white, dark verins (bleeding pinkish in older",hairy,"labeled raphanistrum, and could be! Very constricted sml fruits, BUT no swollen root",,,,
2133518,2133518,CHSC,CHSC112304,2013,3 axiallary buds (?),"yes, basal",pale yelow on label,some glue on leaf tissue,,,,,
469147,469147,SD,SD00062650,2013,"2 axillary, 3 apical bud clusters","yes, basal",white on sheet ,extra DNA and leaf tissue,,,,,9/15/25
1673929,1673929,UCR,UCR0083431,2013,2 axiallary bud,"yes, cauline with cauline morphology ",purple on sheet,,,no evidence of resprout,,,10/20/25
1669580,1669580,UCR,UCR0083354,2013,4 axiallary buds,"yes, cauline w/ intermediate morphology",purple on label and sheet,leaf tissue on young leaf,,no evidence of resprout,,,10/22/25
1666111,1666111,UCR,UCR0083378,2013,4 axiallary buds,"yes, cauline with basal morphology",purple on sheet,,,no evidence of resprout,,,10/22/25
1667960,1667960,UCR,UCR0083377,2013,"4 axiallary buds, 1 lil leaf","yes, cauline with basal morphology",white dark veins on sheet,,,no evidence of resprout,,,10/22/25
1671045,1671045,UCR,UCR0083389,2013,"3 axillary bud, 1 terminal","yes, cauline with cauline morphology ",yellow on label,,,could be resprout,,,10/22/25
469152,469152,SD,SD00062702,2014,"1 axillary bud, 2 terminal bud cluster","yes, cauline w/ intermediate morphology",purple on label and sheet,extra leaf tissue,,,,,9/23/25
1671160,1671160,UCR,UCR0083398,2014,"1 large terminal bud cluster, 2 axially bud, lil leaves","yes, cauline with basal morphology",purple on sheet,extra DNA tissue,,no evidence of resprout,,,10/20/25
238791,238791,UCSC,UCSC100000690,2015,axillary bud clusters +,"yes, basal","White, light veins on sheet (maybe dark veins?)",hairy,"labeled sativus, likely hybrid but no morpho confirmation bc not in fruit",,,,
2763913,2763913,CAS,532999,2015,"2 axillary buds, 1 terminal bud cluster","yes, basal",purple on label,extra leaf tissue,,,,,
124275,124275,SBBG,SBBG213850,2015,"4 axiallary buds, few lil leaves","yes, basal",pale yellow on label,IN SD BAGS,,,,,10/12/25
95043,95043,SBBG,SBBG213848,2015,"2 axillary bud, 2 terminal bud cluster","yes, cauline with basal morphology",purple on sheet,,,,,,10/12/25
3591679,3591679,UCR,UCR0083304,2015,"2 axiallary bud2, 1 terminal bud cluster","yes, cauline",white on sheet and label,,,definitievely not a resprout,,,10/20/25
1399259,1399259,DAV,DAV310441,2015,"4 axillary, 1 big multibud terminal","yes, cauline with basal morphology",beige/yellowish with dark veins on sheet,extra leaf and DNA tissue from packet,,definitievely not a resprout,,,10/22/25
1399262,1399262,DAV,DAV310444,2015,1 terminal  multi-bud cluster,"yes, basal",beige/yellow on sheet,,,definitievely not a resprout,,,
216778,216778,OBI,OBI101740,2016,buds w extra,"yes, cauline, not basal morphology","purple and white, label and sheet",,,,,,
395628,395628,SDSU,SDSU21677,2016,few axillary buds + some big buds,"yes, basal",purple drk veins on sheet,extra tissue,,,,,
469176,469176,SD,SD00062725,2016,4 bud clusters,"yes, cauline",purple (label and sheet),extra tissue,,,,,
3349335,3349335,UCJEPS,JEPS127092,2016,3 bud clusters,"yes, basal",yellow on label,weird looking specimen,"raphanistrum morphology, small fruits, unlobed basal leaves ",,,,
5509705,5509705,UCJEPS,UC2082406,2016,5 bud clusters,"yes, basal (yellowing, wet)",light purple on sheet and label,"yellowing, wet basal leaves",,,,,
215180,215180,OBI,OBI101741,2017,"buds w extra, tiny lf","yes, basal",,,,,,,
3964300,3964300,UCSB,UCSB044460,2017,buds w extra,"yes, cauline, not basal morphology",herbivory,,,,,,
4064867,4064867,UCSB,UCSB050386,2017,buds w extra,"yes, basal (wet??)",tan with dark veins on sheet,,,,,,
3113067,3113067,SD,SD00023691,2017,3 axiallary buds,"yes, cauline",beige on sheet,,raphanistrum fruit morphology,,,,9/17/25
3620051,3620051,SD,SD00025459,2017,7 axillary buds,"yes, basal",purple on label and sheet,USE SMALL buds for extraction (some mold on some of DNA tissue) ; extra leaf tissue (from pouch),swollen root,,,,9/30/25
3700299,3700299,SD,SD00029907,2017,6 axillary buds,"yes, cauline w/ intermediate morphology",light purple on label and sheet,,,,,,10/6/25
1699178,1699178,UCR,UCR0083323,2017,5 axillary buds,"yes, cauline w/ intermediate morphology",purple on sheet,,,no evidence of resprout,,,10/20/25
2890234,2890234,SD,SD00021403,2018,"3 axillary bud, 1 little leaf","yes, basal",white on sheet and label,,,,,,9/18/25
3771777,3771777,SBBG,SBBG174263,2018,5 bud clusters,"yes, cauline with basal morphology",purple on label and sheet,IN SD BAGS,,,,,10/12/25
1702201,1702201,UCR,UCR0083315,2018,4 axiallary buds,"yes, cauline with basal morphology",white dark veins on sheet,,,definitievely not a resprout,,,10/20/25
3630484,3630484,OBI,OBI161552,2019,buds w extra,"yes, cauline with basal morphology",,,,,,,
3590276,3590276,UCSC,UCSC100003126,2019,2+ axillary bud clusters + extra buds,"yes, cauline with basal morphology","purple tips, dark veins (on sheet… label says yellow-white corolla… wrong I thinkk)",hairy,"labeled sativus, likely hybrid but no morpho confirmation bc not in fruit",,,,
3590166,3590166,UCSC,UCSC100003138,2019,multiple axillary bud clusters + a few buds,"yes, cauline with basal morphology","white, dark veins (on sheet and label)",hairy,"labeled sativus, likely hybrid but no morpho confirmation bc not in fruit",,,,
6014478,6014478,SD,SD00087803,2019,"2 little axiallary buds, one tiny leaf","yes, cauline",pink and white on sheet and label,,,,,,
3828689,3828689,CHSC,CHSC122361,2019,2 axillary bud,"yes, basal",beige on sheet,clue on smaller axillary bud,,,,,
2264695,2264695,SBBG,SBBG166103,2019,5 axillary buds; 1 little leaves,"yes, cauline with basal morphology",white on sheet ,IN SD BAGS,,,,,10/12/25
NA,NA,UCSC,UCSC100006703,2020,2+ axillary bud clusters ,"yes, cauline with basal morphology","purple tips, dark veins (on sheet and label)",,"labeled sativus, likely hybrid but no morpho confirmation bc not in fruit",,,,
NA,NA,UCSC,UCSC100006685,2020,multiple axillary bud clusters + extra sml leaves and buds,"yes, cauline with basal morphology","purple tips, dark veins (on sheet and label)",,"labeled sativus, likely hybrid but no morpho confirmation bc not in fruit",,,,
NA,NA,UCSC,UCSC100006704,2020,2 big axillary bud clusters + a bud ,"yes, cauline with basal morphology",white dark veins (on label and sheet),,"labeled sativus, likely hybrid but no morpho confirmation bc not in fruit",,,,
NA,NA,UCSC,UCSC100006681,2020,axillary buds +?,"yes, cauline with basal morphology","white, to beige (young) on sheet, dark veins",,"labeled sativus, likely hybrid but no morpho confirmation",,,,
4060635,4060635,SBBG,SBBG230712,2020,5 axillary buds,no,beige on sheet,,,,,,10/12/25
5549192,5549192,SDSU,SDSU25094,2021,2 big axillary bud clusters ,"yes, cauline, intermediate morphology",purple drk veins on sheet,extra tissue (?),,,,,
5752868,5752868,OBI,OBI183593,2022,buds w extra,"yes, cauline with basal morphology",,,,,,,
5934188,5934188,SD,SD00083704,2023,2 terminal bud clusters,"yes, basal morphology (unclear if cauline bc not attached to plant)",purple on sheet,estra tissue (just a few larger flower buds),,,,,
6053255,6053255,DAV,DAV245704,2024,2 terminal bud cluster,"yes, basal",yellow w dark pleeding pink veins on sheet and label,extra leaf tissue from packet,,no evidence of resprout,,,10/22/25
NA,NA,CAS,684512, ? (1996?),4 axillary buds,"yes, cauline with intermediate morphology",white purple veins on label,,,,,,
NA,NA,FSC,FSC0010482,?,3 bud clusters,"yes, cauline, intermediate morphology",purple drk veins on sheet,extra tissue,,,,,
3268949,3268949,UCJEPS,UC10778,1890-1891,2 terminal bud clusters,"yes, cauline, intermediate morphology",purple on sheet,glue on leaf tissue; on same page/CCH2 upload as 10779,,,,,
3792177,3792177,FSC,FSC0010462,1965?,several bud clusters,"yes, basal",yellow aging white (on label),,,,,,
2057748,2057748,CHSC,CHSC047386,1982(89?),3 axiallary buds,no,purple on label and sheet,,,,,,
NA,NA,CAS,74189,,"3 axillary buds, little leaf",no,white dark veins on sheet,,,,,,
