id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,simplifiedName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,OG_geodeticDatum,geodeticDatum_translated_to.WGS83,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey.dbpk,collID,recordID,references
3544438,UCJEPS,VASC,,PreservedSpecimen,367dd546-aac8-4044-853c-5dcd480ff34a,UC2028317,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,Barbara Ertter (original label determination),,,NA,"Barbara Ertter, Susan D'Alcamo",,16160,6/12/98,,1998,6,12,163,NA,12-Jun-98,,,,"Plants from lower end of hybrid swarm with R. raphinastrum (16134), petals white with purple veins.",NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Contra Costa,,"North Gate Road on west flank of Mount Diablo, dogleg in road above ranches opposite Angel Kerley trailhead.",,0,NA,37.87205,-121.94268,,,NA,,,,,,,579,NA,NA,NA,NA,1900 feet,,,,11/3/21 16:54,UC2028317,46,819428c0-7299-444c-9272-de9995e82bd3,https://cch2.org/portal/collections/individual/index.php?occid=3544438
3373130,UCJEPS,VASC,,PreservedSpecimen,3810e39e-8672-4c8b-b444,JEPS126116,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,"Jake Ruygt, March 29, 1998 (original label determination)",,,NA,Jake Ruygt,,3896,3/28/98,,1998,3,28,87,88,29-Mar-98,,Coastal Prairie. In fallow pasture. Rock alluvium.,,"Biennial?, 6-9 dm. tall; corolla pale yellow, fading white. REC NO: 4016.",NA,NA,NA,NA,NA,,,NA,NA,,Flowering/Fruiting,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Napa,,"Jameson Canyon, north side near bottom of ridge. Cordelia 7.5' Qua.",,0,NA,38.2211,-122.2355,WGS84,,NA,,,,,,,54,NA,NA,NA,NA,180,,,,11/3/21 16:18,JEPS126116,46,86769b7c-d2b4-4116-9a59-a528818cb50e,https://cch2.org/portal/collections/individual/index.php?occid=3373130
1300530,DAV,Vascular Plants,,PreservedSpecimen,18c719f8-f211-421d-8757-a476b7cfa953,DAV310440,Accession #: DAV168473,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,Ellen Dean,"with Susan Harrison, Dean Enderlend, Joe Callizo",588,3/18/00,,2000,3,18,78,NA,18-Mar-00,Access Database Number (Deprecated): UCD18037,Grassland.,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Napa,,"Napa County. McLaughlin Reserve. North of Knoxville -- Berryessa Rd., along road from Knoxville to Clover Valley, just E of site of old town of Knoxville. Near old Osage orange tree by creek.",,0,NA,38.826944,-122.339722,,,NA,38∞ 49m 37s N; 122∞ 20m 23s W,,,,,,402,NA,NA,NA,NA,1320ft,,,,5/18/23 12:51,UCD18037,39,18c719f8-f211-421d-8757-a476b7cfa953,https://cch2.org/portal/collections/individual/index.php?occid=1300530
1337204,DAV,,,PreservedSpecimen,8e679b4d-bf2c-4b12-96c2-b2b8912f7111,DAV300671,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,,6418,,Raphanus,NA,,,,Genus,"E. Dean, 2010",,,,,,NA,J. Shepard,,528,4/22/02,,2002,4,22,112,NA,22-Apr-02,Access Database Number (Deprecated): UCD82177,"Grassland. In ruts in clay soil, cracking as it dries.",,"Hairs do not look like Brassica (2010, E. Dean).",NA,NA,NA,NA,NA,,,NA,NA,"Microseris douglasii, Plagiobothrys fulvus, Achyrachaena mollis, Erodium, Bromus hordeaceus, Taeniatherum.",,,NA,NA,,NA,NA,,NA,North America,NA,NA,NA,United States,California,Solano,,"Solano Co.: From I-80 west, Leisure Town Rd. exit to Vaca Valley Parkway .3 mi west, to SW of Kaiser medical facility.",,0,NA,38.386111,-121.941944,,WGS84,3999,38∞ 23m 10s N; 121∞ 56m 31s W,,,,,,30,NA,NA,NA,NA,100ft,,,,2/12/25 19:40,UCD82177,39,8e679b4d-bf2c-4b12-96c2-b2b8912f7111,https://cch2.org/portal/collections/individual/index.php?occid=1337204
3475357,UCJEPS,VASC,,PreservedSpecimen,1ff76fe6-2783-4fc2-99af-7474790bf2f7,JEPS100009,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,29701,L.,Raphanus,NA,raphanistrum,,,Species,,,,,,,NA,G. Smick,,GAS132,4/8/03,,2003,4,8,98,NA,4/8/03,UTM- 10/576544/4203740,Sunny disturbed area,,,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Contra Costa,,"Mt. Wanda; Martinez; John Muir National Historic Site; Mt. Wanda, John Muir National Historic Site",,0,NA,37.979923,-122.12844,,,NA,,,,,,,NA,NA,NA,NA,NA,,,,,11/3/21 16:21,JEPS100009,46,26aeec8c-729c-4b23-b159-439549d1c1f3,https://cch2.org/portal/collections/individual/index.php?occid=3475357
202480,OBI,,,PreservedSpecimen,10e64129-76c7-489f-8082-2599253cd0aa,OBI101761,64310,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Margaret Przybylski,,93,4/3/04,,2004,4,3,94,NA,3-Apr-04,,Oak woodland/ ruderal.,,Fls purple and white; lvs pinnately lobed,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,pressed herbarium specimen,NA,,NA,NA,NA,United States,California,Alameda,,"The Oakland Zoo, E of main parking lot in rolling hills. Near gate to upper zoo land",,0,NA,37.751459,-122.144718,WGS84,,688,,Kyran1123 (2020-02-07 16:17:21),,georef batch tool 2020-02-07; GeoLocate,reviewed - high confidence,made a polygon around the Oakland Zoo and used it for the uncertainty.,122,NA,NA,NA,NA,,,,,4/16/13 0:00,,12,ce74accd-f860-4a74-a97c-a4cb5a09ab19,https://cch2.org/portal/collections/individual/index.php?occid=202480
3400832,UCJEPS,VASC,,PreservedSpecimen,b4cc51cc-8c82-48d6-9b33-41e09ee57d26,JEPS111867,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,D. G. Kelch,,04.267,6/10/04,,2004,6,10,162,NA,10-Jun-04,,,,Flowers pink.,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Solano,,Vallejo on side road along at side of I-80 between Sequoia Road exit and Columbus Parkway exit,,0,NA,38.131389,-122.223333,WGS84,,100,,,,GPS,,,30,NA,NA,NA,NA,30 m,,,,11/3/21 16:25,JEPS111867,46,a8736ed1-6eea-4fea-8581-7fe5ebb6c2f0,https://cch2.org/portal/collections/individual/index.php?occid=3400832
1660287,UCR,,,PreservedSpecimen,UCR-BPS-242767,UCR0083406,UCR-242767,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,George K. Helmkamp,E.A. Helmkamp,15847,4/14/10,,2010,4,14,104,NA,4/14/10,Common; flowers purple.,Cultivated farmland with irrigation ditches covered with dense vegetation of mostly grasses and mustards.,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Solano,,"Tremont Road, 0.8 mile west of Mace Blvd, 3.8 mi. (air) SE of Davis",,0,NA,38.495,-121.70917,,,NA,,,,Collector GPS,,,3,NA,NA,NA,NA,,,,,9/7/24 22:01,UCR-BPS-242767,3,d0437fe0-0a7c-4492-b07f-88ba37be257f,https://cch2.org/portal/collections/individual/index.php?occid=1660287
1660296,UCR,,,PreservedSpecimen,UCR-BPS-242844,UCR0083405,UCR-242844,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,George K. Helmkamp,E.A. Helmkamp,15857,4/14/10,,2010,4,14,104,NA,4/14/10,"Common; white-flowered plants, in open areas of disturbed soil.",Cultivated farmland with irrigation ditches covered with dense vegetation of mostly grasses and mustards.,,,NA,NA,NA,NA,NA,,,NA,NA,,Flowering,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Solano,,"Tremont Road, 0.8 mile west of Mace Blvd, 3.8 mi. (air) SE of Davis",,0,NA,38.495,-121.70917,,,NA,,,,Collector GPS,,,3,NA,NA,NA,NA,,,,,9/7/24 22:01,UCR-BPS-242844,3,30fc2b2c-eb01-4e9e-89a6-c586a8f4e649,https://cch2.org/portal/collections/individual/index.php?occid=1660296
235906,UCSC,,,PreservedSpecimen,2060bf99-9083-4ce6-8c37-cf3443cfc98e,UCSC100000697,7456,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,Raphanus sativus,29702,L.,Raphanus,NA,sativus,,,Species,,,,,,,NA,Hilary Walecka,,12,4/25/11,,2011,4,25,115,NA,25-Apr-11,"Open flat grassland, dry light brown dirt, associated species were European annual grasses such as Avena sp., Briza sp., and Lolium sp. as well as Eschscholzia california.",100 meter N Schwan Lagoon 600 meter E Woods Lagoon,,Fls violet.,NA,NA,NA,NA,NA,,,NA,NA,,,,NA,NA,,NA,NA,,NA,,NA,NA,NA,United States,California,Santa Cruz,Santa Cruz,2855 E. Cliff Dr. at Schwan Lake Park,,0,NA,36.9649506,-121.9949615,,,NA,,,,,,,10,NA,NA,NA,NA,10 m,Plant Systematics,,,5/20/16 19:58,,13,618b9cd5-90dd-48ad-962e-41ec0e649afd,https://cch2.org/portal/collections/individual/index.php?occid=235906
