id_formula,id,institutionCode,catalogNumber,year,DNA tissue,leaf_tissue,flw_color,notes,spp notes,resprout notes,tissue collected date,
2292239,2292239,CAS,74194,1950,"2 axillary buds, 1 terminal bud cluster","yes, basal",white on label,,,,,
2311342,2311342,CAS,74195,1952,4 axillary bud clusters,"yes, basal",pale yellow on sheet,,,,,
2324050,2324050,CAS,74181,1954,1 terminal bud cluster,"yes, basal","light purple , light veins on sheet ","glue on leaf tissue, limited tissue",,,,
2283407,2283407,CAS,74225,1955,"3 axillary buds, 2 terminal bud cluster","yes, basal",,"extra leaf tissue, unsampled duplicate if extraction fails (74224)",,,,
2437632,2437632,CAS,74321,1956,"1 large axillary bud, 1 little leaf ","yes, basal",n/a,,,,,
2399359,2399359,CAS,74349,1956,"3 axillary buds, 1 terminal bud cluster","yes, basal",beige on sheet,,,,,
2332340,2332340,CAS,74271,1957,4 axillary buds,"yes, basal",purple on sheet and label,unsampled duplicate if extraction fails (74270),,,,
2412262,2412262,CAS,74328,1957,4 axiallary buds,"yes, basal","white, light veins on sheet",,,,,
2316628,2316628,CAS,74323,1957,3 terminal  bud clusters,"yes, basal",purple on sheet ,,,,,
2298844,2298844,CAS,74186,1958,4 axillary buds,"yes, basal","pale yellow, light veins on label",,,,,
2358623,2358623,CAS,74178,1958,"2 axiallary bud, 1 terminal bud","yes, basal",pale yellow on sheet,,,,,
2465925,2465925,CAS,74185,1959,"1 axillary bud, one terminal bud cluster","yes, basal","pale yellow on label, light veins",dirt on leaf tissue,,,,
2290828,2290828,CAS,74234,1961,2 terminal bud clusters,"yes, basal",purple on sheet,,hairless buds ,,,
2378585,2378585,CAS,74277,1961," 2 axillary buds, 1 terminal bud","yes, basal",purple on sheet,potentially glue on tissue,,,,
2409497,2409497,CAS,74291,1961,"1 axillary bud, 1 terminal bud cluster","yes, basal",purple on sheet,glue on leaf tissue,,,,
2345323,2345323,CAS,74239,1962,3 axillary buds,"yes, basal",bronze on sheet ,,,,,
2373106,2373106,CAS,74226,1962,"1 axillary bud, 1 terminal bud cluster","yes, basal",purple on sheet,,,,,
5504851,5504851,CAS,684488,1962,3 axillary buds,"yes, basal",purple on sheet,,,,,
5569673,5569673,CAS,684516,1963,3 axillary buds,"yes, basal",bronze on sheet ,,"flower appear bronze on specimen, likley hybrid ",,,
2447532,2447532,CAS,74341,1963,3 axiallary buds,"yes, basal",purple on sheet,,,,,
2318143,2318143,CAS,74176,1964,"1 axiallary bud, 2 little leaves","yes, basal",beige on sheet,"sample collected from pouch, duel sample - see entry with no leaf same ",,,,
5569677,5569677,CAS,684520,1964,2 big bud clusters ,"yes, basal",purple on sheet,2 big bud clusters - very little glue on smaller bud cluster and visable glue on larger bud cluster ,,,,
5569682,5569682,CAS,684525,1964,2 large axillary buds,"yes, basal",purple on sheet,"glue on leaf tissue, visible glue on one axillary buds DNA",,,,
5504854,5504854,CAS,684491,1965,2 terminal bud cluster,"yes, basal",purple on sheet,,,,,
2422811,2422811,CAS,74227,1966,3 axillary buds ,"yes, basal",purple on sheet ,1 axillary bud from second individual not matching leaf tissue- found in leaf tissue envelope,,,,
5504872,5504872,CAS,684511,1966,4 axillary buds,"yes, basal",purple on sheet,,,,,
5569672,5569672,CAS,684515,1966,4 axillary buds,"yes, basal","white, purple veins on label",,,,,
5569678,5569678,CAS,684521,1966,"3 bud clusters, a few loose buds ","yes, basal",purple on sheet,,,,,
2347205,2347205,CAS,74217,1967,"2 terminal bud clusters, 1 axiallary bud","yes, basal",beige on sheet,,,,,
5569674,5569674,CAS,684517,1967,3 axillary buds,"yes, basal",purple on sheet,,,,,
2272450,2272450,CAS,74275,1967,2 terminal bud cluster,"yes, basal",yellow and purple on sheet,unsampled duplicate if extraction fails (74274),,,,
2432397,2432397,CAS,74187,1968,3 axillary buds,"yes, basal",dark yellow on label ,,,,,
2290218,2290218,CAS,74286,1969,2 terminal bud clusters,"yes, basal",beige on sheet,,,,,
5504853,5504853,CAS,684490,1970,3 axillary buds,"yes, basal",beige on sheet,,,,,
5569854,5569854,CAS,685182,1970,2 terminal bud cluster,"yes, basal","bronze on sheet (purple tip, yellow base; yellow with purple veins on label)",,,,,
5697344,5697344,CAS,684496,1971,"2 axillary bud, 1 terminal bud cluster","yes, basal",purple on sheet,,,,,
5504866,5504866,CAS,684505,1971,2 large axillary ,"yes, basal",purple on label,,,,,
5569852,5569852,CAS,685180,1972,"3 axillary bud, 1 terminal","yes, basal",purple on sheet,extra leaf tissue,,,,
5569853,5569853,CAS,685181,1972,3 axiallary buds,"yes, basal","white light veins on sheet, white on label",,,,,
2439512,2439512,CAS,74266,1973,3 axiallary buds,"yes, basal",purple on sheet,,,,,
5504850,5504850,CAS,684487,1974,"4 axillary buds, 2 little leaves","yes, basal",light purple on label,,,,,
5504870,5504870,CAS,684509,1975,2 axillary bud,"yes, basal",purple on sheet,,,,,
2278606,2278606,CAS,74203,1978,"1 large terminal bud cluster, 1 axially bud, 1 small leaf ","yes, basal",beige on sheet,,,,,
2314219,2314219,CAS,74265,1980,2 terminal bud cluster,"yes, basal",purple on sheet,,,,,
2315373,2315373,CAS,74238,1981,"2 axillary buds, 1 large terminal cluster","yes, basal",purple on sheet,map of collection location ,,,,
2423284,2423284,CAS,74315,1981,3 axillary buds,"yes, basal",beige on sheet ,likely glue on tissue,,,,
2322749,2322749,CAS,74237,1982,"2 terminal bud clusters, 1 axillary bud","yes, basal",purple on sheet,,,,,
5569681,5569681,CAS,684524,1982,3 axillary buds,"yes, basal",purple on sheet,leaf tissue might have glue,,,,
2318818,2318818,CAS,74200,1986,4 axillary buds,"yes, basal","petals white, maroon veins on label",,,,,
2387538,2387538,CAS,58407,1992,3 axillary buds,"yes, basal",yellowish on label,"extra DNA tissue, extra leaf tissue",,,,
2763913,2763913,CAS,532999,2015,"2 axillary buds, 1 terminal bud cluster","yes, basal",purple on label,extra leaf tissue,,,,
2413972,2413972,CAS,74264,1923,tiny leaf and apical meristeam ,"yes, basal ",n/a,packet of seedlings that germinated in early october,,,,
5504863,5504863,CAS,684502,1962,3 axillary buds,"yes, basal ",purple on sheet,,,,,
5569679,5569679,CAS,684522,1966,3 bud clusters,"yes, basal ",purple on sheet,3 bud clusters- largest with glue,,,,
5504864,5504864,CAS,684503,1966,3 axillary buds,"yes, basal ",beige on sheet,,,,,
2397709,2397709,CAS,74201,1969,"2 axillary buds, 1 little leaf","yes, basal ",purple and yellow on label and sheet (bronze),,,,,
5504859,5504859,CAS,684497,1969,3 axillary buds,"yes, basal ",beige on sheet,,,,,
5504865,5504865,CAS,684504,1970,3 axillary buds,"yes, basal ",white on label,,,,,
2322844,2322844,CAS,74182,1977,"3 axiallary buds, loose flower buds","yes, basal ",purple on sheet,"potentially two individuals, glue on leaf tissue  ",,,,
2355178,2355178,CAS,74292,1978,"3 axillary buds, 1 terminal bud cluster","yes, basal ",purple on label,,,,,
5504844,5504844,CAS,684481,1969,4 axillary buds,"yes, basal  ",beige on sheet,"extra DNA tissue, extra leaf tissue",,,,
2405523,2405523,CAS,74175,1937,"4 axillary buds, little leaf","yes, basal morphology ",white on sheet,likely perennated ,,,,
2370292,2370292,CAS,74202,1954,"2 axillary buds, 1 little leaf","yes, basal morphology ",beige on sheet,,,,,
2393985,2393985,CAS,74296,1903,2 terminal bud clusters,"yes, basal morphology (unknown, from leaf packet)",purple on sheet,"extra leaf tissue, yes, basal morphology (unknown leaf tissue from leaf packet)",,,,
2446662,2446662,CAS,74295,1903,1 terminal bud cluster,"yes, basal morphology (unknown, from leaf packet)",,,,,,
2336537,2336537,CAS,74243,1916,"3 axillary buds, 1 terminal bud cluster","yes, basal, some glue on leaf",purple on sheet,,"very likely sativus, hairless buds",,,
2463835,2463835,CAS,74205,1930,"2 axillary buds, 1 terminal bud cluster, a few loose buds","yes, cauline",white dark veins on sheet,island - collected ,,,,
2391912,2391912,CAS,74211,1964,"2 axillary buds, 2 terminal buds","yes, cauline",beige on sheet ,,,,,
2404723,2404723,CAS,74228,1975,"1 terminal bud cluster, 2 axillary buds","yes, cauline",dark purple on sheet ,,,,,
2308947,2308947,CAS,74179,1980,"2 axiallary buds, 1 terminal bud cluster","yes, cauline",yellow on label,,,,,
