id_formula,id,institutionCode,catalogNumber,year,DNA tissue,leaf_tissue,flw_color,notes,spp notes,resprout notes,tissue collected date,
2334928,2334928,CAS,74198,1913,"3 apical bud clusters, little leaf","yes, cauline, with cauline morphology ",white dark veins on sheet,,,,,
2293307,2293307,CAS,74183,1936,"1 axillary bud, 2 terminal bud cluster, several loose flower buds","yes, cauline, with cauline morphology ",white on sheet,leaf tissue maybe with sum glue,,,,
2450089,2450089,CAS,74197,1950,"2 axillary buds, 2 bud clusters","yes, cauline, with cauline morphology ",no flowers on sheet,extra leaf tissue,raphanistrum fruit morphology,,,
2358602,2358602,CAS,74223,1951,"2 axillary bud, 1 terminal bud cluster","yes, cauline, with cauline morphology ",beige on sheet,,,,,
5504845,5504845,CAS,684482,1952,"2 terminal bud clusters, 1 axillary bud","yes, cauline, with cauline morphology ",white on sheet ,,,,,
2462190,2462190,CAS,74213,1964,"2 axillary bud, 1 terminal bud","yes, cauline, with cauline morphology ",beige on sheet,,"odd looking leaves, possible hybrid with brassica, small yellow flowers",,,
2291266,2291266,CAS,74199,1976,"3 terminal  bud clusters, some loose flower buds","yes, cauline, with cauline morphology ",white on sheet,,,,,
2500762,2500762,CAS,154056,2005,"3 axillary buds, 1 terminal bud cluster","yes, cauline, with cauline morphology ",purple on sheet,,,,,
2521638,2521638,CAS,174778,2008,"2 axillary buds, 1 basal leaf",,white flowers dark veins on sheet,purple steam and sepals,,,,
,,CDA,CDA-0003831,1932,3 axillary buds,"yes, unknown but appears to have intermediate morphology",purple on sheet,leaf tissue from fragment packet,,definitively not a resprout,3/10/26,
,,CDA,CDA-0003829,1959,3 axillary buds,"yes, basal",white dark veins,,,definitively not a resprout,3/10/26,
,,CDA,CDA-0003828,1958,3 axillary buds,"yes, cauline with intermediate morphology",beige on sheet ,,,no evidence of resprout,3/10/26,
,,CDA,CDA-0003833,1959,2 big axillary bud  ,"yes, basal",beige on sheet ,,,definitively not a resprout,3/10/26,
,,CDA,CDA-0020839,1908,"1 multibud cluster, 1 axillary bud","yes, basal",purple on sheet,remove stem from multibud cluster before extraction,,definitively not a resprout,3/10/26,
,,CDA,CDA-0012316,1992,3 axillary buds,"yes, basal",yellow on label,,,definitively not a resprout,3/10/26,
,,CDA,CDA-0037168,1975,3 axillary buds,no,yellow on sheet,,,definitively not a resprout,3/10/26,
,,CDA,CDA-0059482,1985,3 axillary buds,"yes, cauline with basal morphology",white on sheet,,,no evidence of resprout,3/10/26,
,,CDA,CDA-0043773,2004,1 terminal bud cluster,"yes, cauline w/ cauline morphology",beige on sheet ,DNA and leaf tissue from fragment packet,,definitively not a resprout,3/10/26,
,,CDA,CDA-0018779,2000,2 axillary buds,"yes, cauline with basal morphology",beige on sheet ,,,definitively a resprout,3/10/26,
,,CDA,CDA-0019431,2002,3 axillary buds,"yes, basal",purple on sheet and label,,,definitively not a resprout,3/10/26,
2137472,2137472,CHSC,CHSC119251,1996,5 apical bud clusters,no,purple on label and sheet,extra DNA tissue,,,,
2137472,2137472,CHSC,CHSC119251,1996,"3 apical bud clusters, 1 axillary bud",no,purple and white (label and sheet) ,DOUBLE COLLECTED,,,,
2057748,2057748,CHSC,CHSC047386,1982(89?),3 axiallary buds,no,purple on label and sheet,,,,,
2061660,2061660,CHSC,CHSC000536,1953,"4 axiallary buds, 1 terminal bud cluster, 1 leaf","yes, basal",beige light veins on sheet,,,,,
3452051,2030475,CHSC,UC10775,1966,2 axiallary bud,"yes, basal",white dark veins on sheet,,,,,
2039506,2039506,CHSC,CHSC026459,1971,"1 axillary bud, 1 large bud cluster","yes, basal",white purple veins on label,,,,,
2034914,2034914,CHSC,CHSC021252,1975,"2 axiallary bud, 1 little leaf","yes, basal",purple on sheet,,,,,
2056948,2056948,CHSC,CHSC046484,1977,1 big axillary bud,"yes, basal",purple on label and sheet,,,,,
2040704,2040704,CHSC,CHSC027838,1978,"4 axiallary buds, 1 leaf","yes, basal",yellow on label,extra DNA tissue,,,,
2044164,2044164,CHSC,CHSC031957,1979,5 axillary buds,"yes, basal",beige dark veins on sheet,,,,,
2049533,2049533,CHSC,CHSC038030,1982,4 axiallary buds,"yes, basal",yellow on label,,,,,
2049534,2049534,CHSC,CHSC038031,1982,4 axillary buds,"yes, basal",beige dark veins on sheet,,fruits very raphanistrum morphology,,,
NA,NA,CHSC,CHSC03835,1982,3 axiallary buds,"yes, basal",white dark veins on sheet,chem leaf yellowing (scenescing),,,,
2049904,2049904,CHSC,CHSC038424,1982,4 axiallary buds,"yes, basal",beige on sheet,,,,,
2049536,2049536,CHSC,CHSC038033,1982,3 axiallary buds,"yes, basal","pale yellow on sheet, white or yellow on label",,,,,
2071627,2071627,CHSC,CHSC066479,1996,"2 axiallary bud, 1 little leaf","yes, basal",white dark veins on sheet,,,,,
2124078,2124078,CHSC,CHSC096467,2007,"3 axillary bud, 1 little leaf","yes, basal",beige on sheet,,,,,
2132998,2132998,CHSC,CHSC111394,2012,"3 axillary bud, 1 little leaf","yes, basal",purple on label and sheet,,,,,
2133518,2133518,CHSC,CHSC112304,2013,3 axiallary buds (?),"yes, basal",pale yelow on label,some glue on leaf tissue,,,,
3828689,3828689,CHSC,CHSC122361,2019,2 axillary bud,"yes, basal",beige on sheet,clue on smaller axillary bud,,,,
2061482,2061482,CHSC,CHSC000533,1935,"3 axillary bud, 1 little leaf","yes, basal ",beige on sheet,smaller leaf piece with glue,,,,
5872887,5872887,CHSC,CHSC126713,1968,"2 axillary bud, 1 terminal bud cluster","yes, basal ",beige on sheet,leaf tissue with glue,,,,
2061578,2061578,CHSC,CHSC000535,1938,"3 apical buds, 2 little leaves","yes, cauline",pink on sheet (maybe white with pink veins that bled),,,,,
2051496,2051496,CHSC,CHSC004031,1967,3 axiallary buds,"yes, cauline w/ intermediate morphology",white dark veins on sheet,,,,,
5872878,5872878,CHSC,CHSC126717,1968,4 axillary buds,"yes, cauline w/ intermediate morphology",beige on sheet,"one mostly buds cluster with glue; extra leaf tissue, but GLUE on lots","very raphanistrum type fruits with cilindrical shape and constriction, but hairless buds",,,
2051858,2051858,CHSC,CHSC040702,1982,5 axillary buds,"yes, cauline w/ intermediate morphology",no flwrs,,fruits very raphanistrum morphology,,,
2049555,2049555,CHSC,CHSC038052,1983,"3 axillary bud, 1 little leaf","yes, cauline w/ intermediate morphology",purple on sheet,,"very sativus fr morph and purple flowers, sparsely hairy buds",,,
2049555,2049555,CHSC,CHSC038052,1983,6 axillary buds,"yes, cauline w/ intermediate morphology",purple on sheet,DOUBLE COLLECTED,,,,
2079339,2079339,CHSC,CHSC075075,1987,"3 axillary bud, 1 little leaf","yes, cauline w/ intermediate morphology",beige on sheet,,,,,
2070005,2070005,CHSC,CHSC064605,1995,3 axiallary buds,"yes, cauline w/ intermediate morphology",white dark veins on sheet,glue on leaf tissue,,,,
2071112,2071112,CHSC,CHSC065917,1996,3 axiallary buds,"yes, cauline w/ intermediate morphology",white dark veins on sheet,some glue on leaf tissue,,,,
NA,NA,CHSC,CHSC098192,2006,5 axillary buds,"yes, cauline w/ intermediate morphology",yellow on label,"OREGON, oops… ; some glue on leaf tissue",,,,
2061760,2061760,CHSC,CHSC000537,1965,3 axiallary buds,"yes, cauline with basal morphology",white on sheet and label,,,,,
5737995,5737995,CHSC,CHSC125469,1973,4 axiallary buds,"yes, cauline with basal morphology",white dark veins on sheet,,,,,
2046467,2046467,CHSC,CHSC034565,1982,4 axiallary buds,"yes, cauline with basal morphology",purple on sheet,,,,,
NA,NA,CHSC,CHSC03848,1983,3 axiallary buds,"yes, cauline with basal morphology",yellow on label,,,,,
2057404,2057404,CHSC,CHSC047040,1985,2 big bud clusters,"yes, cauline with basal morphology",white dark veins on sheet,,,,,
2107639,2107639,CHSC,CHSC091408,1987,"3 axillary bud, 1 little leaf","yes, cauline with basal morphology",purple on label and sheet,,,,,
2107639,2107639,CHSC,CHSC091408,1987,NA _DOUBLE COLLECTED,"yes, cauline with basal morphology",purple on label and sheet,DOUBLE COLLECTED,,,,
2085275,2085275,CHSC,CHSC081237,1997,3 axiallary buds,"yes, cauline with basal morphology",white dark veins on sheet,,,,,
2085539,2085539,CHSC,CHSC081475,2000,3 axiallary buds,"yes, cauline with basal morphology",white dark veins on sheet,,,,,
2125798,2125798,CHSC,CHSC099463,2007,4 axiallary buds,"yes, cauline with basal morphology",white dark veins on sheet,,,,,
2146635,2146635,CHSC,CHSC098874,2008,3 axiallary buds,"yes, cauline with basal morphology",yellow on label,,,,,
2134739,2134739,CHSC,CHSC114899,2009,2 axillary bud,"yes, cauline with basal morphology",purple and white (label and sheet) ,extra leaf tissue,,,,
2134739,2134739,CHSC,CHSC114899,2009,4 axiallary buds,"yes, cauline with basal morphology",purple and white (label and sheet) ,DOUBLE COLLECTED;glue on some of DNA tissue,,,,
2046466,2046466,CHSC,CHSC034564,1982,3 apical bud clusters,"yes, cauline with cauline morphology ",yellow on label,,,,,
2120835,2120835,CHSC,CHSC090955,2005,"many buds, sml leaf","yes, cauline with cauline morphology ",purple on sheet,extra DNA and leaf tissue,,,,
2061832,2061832,CHSC,CHSC000538,1965,"3 axillary bud, 1 terminal bud cluster, 1 little leaf",,yellow with dark veins on label,,,,,
1367984,1367984,DAV,DAV300681,1942,"4 axiallary buds, few lil leaves","yes, basal",purple on sheet,,,definitievely not a resprout,10/22/25,
1399262,1399262,DAV,DAV310444,2015,1 terminal  multi-bud cluster,"yes, basal",beige/yellow on sheet,,,definitievely not a resprout,10/22/25,
6053255,6053255,DAV,DAV245704,2024,2 terminal bud cluster,"yes, basal",yellow w dark pleeding pink veins on sheet and label,extra leaf tissue from packet,,no evidence of resprout,10/22/25,
1372819,1372819,DAV,DAV300679,2012,"2 axiallary bud2, 1 terminal bud cluster","yes, basal ",yellow light veins on sheet and label,,,definitievely not a resprout,10/22/25,
1367985,1367985,DAV,DAV300676,2000,4 axiallary buds,"yes, cauline w/ intermediate morphology","light purple on sheet, white on label",,,no evidence of resprout,10/22/25,
1336457,1336457,DAV,DAV300678,2009,3 axiallary buds,"yes, cauline w/ intermediate morphology",beige dark veins on sheet,glue on leaf tissue,,no evidence of resprout,10/22/25,
1367980,1367980,DAV,DAV310436,1951,"1 terminal  multi-bud cluster, 1 axilary, one terminal bud cluster","yes, cauline with basal morphology",beige on sheet,maybe glue on axillary bud DNA tissue,,no evidence of resprout,10/22/25,
1300530,1300530,DAV,DAV310440,2000,"2 axiallary bud2, 1 terminal bud cluster","yes, cauline with basal morphology",beige/yellow on sheet,small amount glue on leaf tissue,,definitievely not a resprout,10/22/25,
1336458,1336458,DAV,DAV310437,2009,"2 axiallary buds, 1 terminal bud cluster, 1 lil leaf","yes, cauline with basal morphology",beige on sheet,,,no evidence of resprout,10/22/25,
1399259,1399259,DAV,DAV310441,2015,"4 axillary, 1 big multibud terminal","yes, cauline with basal morphology",beige/yellowish with dark veins on sheet,extra leaf and DNA tissue from packet,,definitievely not a resprout,10/22/25,
1368057,1368057,DAV,DAV310399,1930,3 terminal  bud clusters,no,purple on sheet ,,,no evidence of resprout,11/4/25,
1327836,1327836,DAV,DAV315352,2000,1 big axillary bud cluster,no,purple on label and sheet,"multiple individuals on sheet, DNA from just 1, maybe some glue on DNA tissue; NOTE - originally entered as DAV315362",,no evidence of resprout,11/4/25,
1368028,1368028,DAV,DAV310408,1914,"3 large axillary bud cluster, 1 lil leaf","yes, basal",purple on sheet,extra DNA tissue,,definitievely not a resprout,11/4/25,
1367991,1367991,DAV,DAV310431,1917,4 axiallary buds,"yes, basal",beige on sheet,DNA tissue dirty,,definitievely not a resprout,11/4/25,
1367992,1367992,DAV,DAV310430,1917,"4 axiallary buds, 1 terminal bud cluster","yes, basal",purple on sheet,,,definitievely not a resprout,11/4/25,
1368001,1368001,DAV,DAV310417,1932,"4 axiallary buds, 1 lil leaf","yes, basal",purple on sheet,some mold on one axillary bud,,definitievely not a resprout,11/4/25,
1368035,1368035,DAV,DAV310410,1933,7 axillary buds,"yes, basal ",purple on sheet ,extra DNA tissue,,definitievely not a resprout,11/4/25,
1302899,1302899,DAV,DAV300672,2003,3 axiallary buds,"yes, cauline",no flowers,extra leaf tissue,,dry fruiting branches with mini resprouts,11/4/25,
1368029,1368029,DAV,DAV310407,1914,"3 axiallary buds, 2 terminal bud clusters","yes, cauline w/ intermediate morphology",purple on sheet,,,definitievely not a resprout,11/4/25,
1367990,1367990,DAV,DAV300673,1917,"5 axillary buds, little lf","yes, cauline w/ intermediate morphology",,extra leaf tissue,,no evidence of resprout,11/4/25,
1368053,1368053,DAV,DAV310402,1927,"6 axillary buds, 1 lil leaf","yes, cauline w/ intermediate morphology",purple on sheet,,,no evidence of resprout,11/4/25,
1368036,1368036,DAV,DAV310432,1941,"2 axiallary bud, 2 little leaf, 1 bud cluster","yes, cauline w/ intermediate morphology",beige on sheet,,,definitievely not a resprout,11/4/25,
1368038,1368038,DAV,DAV010561,1943,5 axillary buds,"yes, cauline w/ intermediate morphology",purple on sheet,extra leaf tissue,,no evidence of resprout,11/4/25,
1337204,1337204,DAV,DAV300671,2002,"3 axiallary bud, 1 little leaf","yes, cauline w/ intermediate morphology","beige, light veins on sheet",,,no evidence of resprout,11/4/25,
1368008,1368008,DAV,DAV310424,2006,"4 axiallary buds, 1 lil leaf","yes, cauline w/ intermediate morphology",purple on sheet,leaf tissue with glue,,no evidence of resprout,11/4/25,
1368010,1368010,DAV,DAV310426,2007,2 axillary bud,"yes, cauline w/ intermediate morphology",beige on sheet,,,no evidence of resprout,11/4/25,
1368006,1368006,DAV,DAV310423,1914,"6 axillary buds, 1 lil leaf","yes, cauline with basal morphology",purple on sheet,,,no evidence of resprout,11/4/25,
1368002,1368002,DAV,DAV310416,1929,SD00062793,"yes, cauline with basal morphology",purple on sheet,extra DNA tissue,,no evidence of resprout,11/4/25,
1367988,1367988,DAV,DAV300683,1944,5 axillary buds,"yes, cauline with basal morphology",beige on sheet,,,no evidence of resprout,11/4/25,
1368007,1368007,DAV,DAV310419,2006,2 large axillary buds,"yes, cauline with basal morphology",beige on sheet,,,"potential resprout, but unclear",11/4/25,
2963303,2963303,DAV,DAV325632,2019,2 axiallary bud,"yes, cauline with basal morphology",purple on sheet,extra leaf tissue,,definitievely not a resprout,11/4/25,
1312145,1312145,DAV,DAV300682,1902,"1 axillary, 1 terminal","yes, cauline with cauline morphology ",white dark veins on sheet,,,no evidence of resprout,11/4/25,
1311269,1311269,DAV,DAV310392,1902,3 axiallary buds,"yes, basal",beige dark veins on sheet,,,definitievely not a resprout,11/7/25,
1312007,1312007,DAV,DAV310391,1902,3 terminal bud clusters,"yes, cauline with cauline morphology ",beige dark veins on sheet,maybe glue on leaf tissue,,no evidence of resprout,11/7/25,
1367983,1367983,DAV,DAV310435,1992,"3 axiallary bud, 1 terminal bud cluster",no,beige dark veins on sheet,,,definitievely not a resprout,11/10/25,
1367989,1367989,DAV,DAV310445,1992,4 axiallary buds,"yes, basal",yellow and purple on sheet,,,no evidence of resprout,11/10/25,
1333957,1333957,DAV,DAV300674,1995,"5 axillary buds, 1 little leaf","yes, basal",white light veins on sheet,,,definitievely not a resprout,11/10/25,
https://www.cch2.org/portal/collections/individual/index.php?occid=1367987&clid=0,NA,DAV,DAV127852,1995,4 axiallary buds,"yes, basal",beige dark veins on sheet,,,definitievely not a resprout,11/10/25,
1399260,1399260,DAV,DAV310442,2015,3 axiallary bud,"yes, basal",white on sheet ,,,definitievely not a resprout,11/10/25,
6003808,6003808,DAV,DAV244422,2024,3 axiallary bud,"yes, basal",light yellow dark veins on label and sheet,maybe glue on leaf tissue,,definitievely not a resprout,11/10/25,
1367986,1367986,DAV,DAV300675,1963,5 bud clusters,"yes, cauline w/ intermediate morphology",white dark veins on sheet,all tissue from envelope,,definitievely not a resprout,11/10/25,
1367981,1367981,DAV,DAV300677,1976,3 axiallary bud,"yes, cauline w/ intermediate morphology",white dark veins on sheet,,,definitievely not a resprout,11/10/25,
1320906,1320906,DAV,DAV310438,1992,"4 axiallary buds, 1 lil leaf","yes, cauline w/ intermediate morphology",light purple on sheet,glue on leaf tissue,,definitievely not a resprout,11/10/25,
1339126,1339126,DAV,DAV310439,1997,4 axiallary buds,"yes, cauline w/ intermediate morphology",pale purple on label,,,definitievely not a resprout,11/10/25,
1399261,1399261,DAV,DAV310443,2015,4 axiallary buds,"yes, cauline w/ intermediate morphology",yellow on sheet,,,definitievely not a resprout,11/10/25,
3776588,3776588,DAV,DAV328011,1997,"3 axiallary bud, 1 little leaf","yes, cauline with basal morphology",white with grey veins on label,,,definitievely not a resprout,11/10/25,
1327836,1327836,DAV,DAV315352,2000,,,,,,,03/24?/25,
1368009,1368009,DAV,DAV310425,2007,,,,,,,03/24?/25,
1392578,1392578,DAV,DAV310393,2013,,,,,,,03/24?/25,
2963303,2963303,DAV,DAV325632,2019,,,,,,,03/24?/25,
1399932,1399932,DAV ,DAV310434,1977,4 axiallary buds,"yes, cauline w/ intermediate morphology",beige on sheet,,,definitievely not a resprout,11/10/25,
3792185,3792185,FSC,FSC0010470,1967,4 bud clusters,no,yellow (on label),extra tissue,,,,
3792170,3792170,FSC,FSC0010455,1974,2 bud clusters,no,yellow on label,,,,,
3792195,3792195,FSC,FSC0010480,1974,2 bud clusters and lil leaf,no,"white on label and sheet, light veins",extra tissue,,,,
3792196,3792196,FSC,FSC0010481,1929,3 buds and some leaf bits,"yes, basal",purple drk veins on sheet,extra tissue,,,,
3792179,3792179,FSC,FSC0010464,1940,leaf tissue only available,"yes, basal",no flowers,,,,,
3792159,3792159,FSC,FSC0010444,1953,4 bud clusters,"yes, basal","white dark veins on sheet, purple bracts",extra tissue,,,,
3792160,3792160,FSC,FSC0010445,1953,3 buds and stem bit,"yes, basal",purple tip dark veins on sheet,,,,,
3792168,3792168,FSC,FSC0010453,1954,2 floral buds,"yes, basal",white dark veins on sheet,,,,,
3792176,3792176,FSC,FSC0010461,1954,several bud clusters,"yes, basal",white dark veins on sheet,,,,,
3792180,3792180,FSC,FSC0010465,1954,few bud clusters,"yes, basal",purple tip dark veins on sheet,,,,,
3792181,3792181,FSC,FSC0010466,1957,few bud clusters,"yes, basal",purple tip dark veins on sheet,,,,,
3792167,3792167,FSC,FSC0010452,1959,several bud clusters,"yes, basal",white dark veins on sheet,extra tissue,,,,
3792178,3792178,FSC,FSC0010463,1960,3 bud clusters,"yes, basal",purple tip dark veins on sheet,extra leaf circle and tissue,,,,
3792191,3792191,FSC,FSC0010476,1960,3 bud clusters and lil leaf,"yes, basal",pale yellow on sheet,extra tissue,,,,
3792165,3792165,FSC,FSC0010450,1961,2 bud clusters,"yes, basal","light purple, drk veins on sheet",,,,,
3792166,3792166,FSC,FSC0010451,1965,several bud clusters,"yes, basal",yellow aging white (on label),,,,,
3792173,3792173,FSC,FSC0010458,1965,2 bud clusters,"yes, basal",yellow on label,,,,,
3792172,3792172,FSC,FSC0010457,1967,2 bud clusters,"yes, basal",yellow on label,,,,,
3792182,3792182,FSC,FSC0010467,1967,few bud clusters,"yes, basal","white, yellowish veins on label",,,,,
3792162,3792162,FSC,FSC0010447,1968,2 bud clusters,"yes, basal",purple drk veins on sheet,,,,,
3792183,3792183,FSC,FSC0010468,1974,3 bud clusters,"yes, basal",white blue veins or yellow on label,,,,,
3792198,3792198,FSC,FSC0010483,1974,few bud clusters,"yes, basal","yellow, greenish veins",,,,,
3792186,3792186,FSC,FSC0010471,1977,4 bud clusters,"yes, basal",purple on sheet and label,extra tissue,,,,
3792156,3792156,FSC,FSC0010441,1978,2 floral bud clusters,"yes, basal",white dark veins on sheet,,,,,
3792192,3792192,FSC,FSC0010477,1981,multiple bud clusters,"yes, basal",purple (label and sheet),extra tissue,,,,
3792193,3792193,FSC,FSC0010478,1981,several bud clusters,"yes, basal","White, light veins on sheet",extra tissue,,,,
3792177,3792177,FSC,FSC0010462,1965?,several bud clusters,"yes, basal",yellow aging white (on label),,,,,
3792158,3792158,FSC,FSC0010443,1929,3 axillary buds and one young leaf,"yes, cauline with basal morphology",white dark veins on sheet,extra tissue,,,,
3792163,3792163,FSC,FSC0010448,1966,2 bud clusters,"yes, cauline with basal morphology",yellow aging white (on label),,,,,
3792164,3792164,FSC,FSC0010449,1968,several bud clusters,"yes, cauline with basal morphology",,,,,,
3792188,3792188,FSC,FSC0010473,1968,1 bud cluster,"yes, cauline with basal morphology",whit with dark veins on sheet,2 extra big buds,,,,
3792189,3792189,FSC,FSC0010474,1970,3 bud clusters and lil leaf,"yes, cauline with basal morphology",yellow (on label),extra tissue,,,,
3792190,3792190,FSC,FSC0010475,1980,multiple big bud clusters,"yes, cauline with basal morphology",purple on sheet and label,extra tissue,,,,
3792161,3792161,FSC,FSC0010446,1964,2 big bud clusters,"yes, cauline, intermediate morphology","unclear (maybe yellow, brown drk veins)",,,,,
3792169,3792169,FSC,FSC0010454,1964,several bud clusters,"yes, cauline, intermediate morphology",yellow on label,extra tissue,,,,
3792174,3792174,FSC,FSC0010459,1964,several bud clusters,"yes, cauline, intermediate morphology",purple on sheet,noted might be hybrid on label (constricted fruits and dark purple flowers),,,,
3792175,3792175,FSC,FSC0010460,1965,several bud clusters,"yes, cauline, intermediate morphology",yellow aging white (on label),,,,,
3792187,3792187,FSC,FSC0010472,1973,3 bud clusters,"yes, cauline, intermediate morphology",purple on sheet and label,,,,,
3792194,3792194,FSC,FSC0010479,1984,4 bud clusters,"yes, cauline, intermediate morphology",purple on sheet and label,extra tissue,,,,
NA,NA,FSC,FSC0010482,?,3 bud clusters,"yes, cauline, intermediate morphology",purple drk veins on sheet,extra tissue,,,,
3792171,3792171,FSC,FSC0010456,1934,3 bud clusters,"yes, cauline, not basal morphology",purple flowers drk veins,,,,,
3792184,3792184,FSC,FSC0010469,1967,3 bud clusters,"yes, cauline, not basal morphology",purple drk veins on sheet,,,,,
202465,202465,OBI,OBI101786,1908,buds w extra,"yes, basal","minor herbivory, purple on sheet",,,,,
202486,202486,OBI,OBI101768,1959,buds w extra,"yes, basal",pink/purple on sheet,,,,,
202487,202487,OBI,OBI101753,1964,buds w extra,"yes, basal",pink/purple on sheet,,,,,
202451,202451,OBI,OBI101739,1968,buds w extra,"yes, basal",yellow (on label),,,,,
202488,202488,OBI,OBI101756,1968,buds w extra,"yes, basal",pink/purple on sheet,,,,,
202468,202468,OBI,OBI101760,1969,buds w extra,"yes, basal","pink-purple becoming white with age (on label), also purple on sheet",,,,,
202476,202476,OBI,OBI101772,1970,buds w extra,"yes, basal",purple or white flowers (on label),,,,,
202473,202473,OBI,OBI101787,1980,buds w extra,"yes, basal",purple on sheet,,,,,
202449,202449,OBI,OBI101734,2001,buds w extra,"yes, basal",yellow (on label),"label notes ""white, purple, and apricot"" flws in same pop",,,,
202480,202480,OBI,OBI101761,2004,buds w extra,"yes, basal","purple and white (on label), also purple on sheet",,,,,
215180,215180,OBI,OBI101741,2017,"buds w extra, tiny lf","yes, basal",,,,,,
202503,202503,OBI,OBI101736,1977,buds w extra,"yes, basal, but dry/yellowed",herbivory,,,,,
202455,202455,OBI,OBI101767,1957,buds w extra,"yes, cauline with basal morphology",pink/purple on sheet,,,,,
202453,202453,OBI,OBI101750,1966,buds w extra,"yes, cauline with basal morphology","lavender flowers (on label), and on sheet",,,,,
202452,202452,OBI,OBI101738,1968,buds w extra,"yes, cauline with basal morphology",maybe pink? Pink looking,,,,,
202491,202491,OBI,OBI101785,1969,buds w extra,"yes, cauline with basal morphology",purple on sheet,,,,,
202478,202478,OBI,OBI101752,1971,buds w extra,"yes, cauline with basal morphology",pink/purple on sheet,,,,,
202454,202454,OBI,OBI101778,1972,buds w extra,"yes, cauline with basal morphology",purple on sheet,,,,,
202474,202474,OBI,OBI101784,1979,buds w extra,"yes, cauline with basal morphology","herbivory, purple (on label)",,,,,
6008207,6008207,OBI,OBI213742,1979,buds w extra,"yes, cauline with basal morphology",,,,,,
202457,202457,OBI,OBI101757,1979,buds w extra,"yes, cauline with basal morphology",pink/purple on sheet,,,,,
202447,202447,OBI,OBI101737,1980,buds w extra,"yes, cauline with basal morphology",yellow (on label),,,,,
202461,202461,OBI,OBI101747,1980,buds w extra,"yes, cauline with basal morphology","white *on label and sheet, from mixed color pop)",,,,,
202494,202494,OBI,OBI101775,1982,buds w extra,"yes, cauline with basal morphology",purple on sheet,,,,,
6008220,6008220,OBI,OBI204067,1982,buds w extra,"yes, cauline with basal morphology",,,,,,
202459,202459,OBI,OBI101774,1984,buds w extra,"yes, cauline with basal morphology","purple to white (on label), and purple on sheet",,,,,
202484,202484,OBI,OBI101783,1986,buds w extra,"yes, cauline with basal morphology",purple on sheet,,,,,
3630484,3630484,OBI,OBI161552,2019,buds w extra,"yes, cauline with basal morphology",,,,,,
5752868,5752868,OBI,OBI183593,2022,buds w extra,"yes, cauline with basal morphology",,,,,,
202470,202470,OBI,OBI101765,1955,buds w extra,"yes, cauline, not basal morphology",,,,,,
202483,202483,OBI,OBI101779,1980,buds w extra,"yes, cauline, not basal morphology",purple on sheet,,,,,
6008224,6008224,OBI,OBI204065,1982,buds w extra,"yes, cauline, not basal morphology",,,,,,
202475,202475,OBI,OBI101744,1988,buds w extra,"yes, cauline, not basal morphology",pink/purple on sheet,,,,,
216778,216778,OBI,OBI101740,2016,buds w extra,"yes, cauline, not basal morphology","purple and white, label and sheet",,,,,
4745859,4745859,RENO,77913,1959,"3 axillary bud, 1 large bud","yes, basal",white dark veins on sheet,,,definitievely not a resprout,11/7/25,
4745869,4745869,RENO,77919,1960,2 terminal bud cluster,"yes, basal",white dark veins on sheet,"odd leaf morphology, deeply serrated margins, maybe moldy DNA tissue, glue on DNA tissue ",,definitievely not a resprout,11/7/25,
4745861,4745861,RENO,77914,1967,"2 axiallary bud, 2 little leaf, 1 terminal bud cluster","yes, basal",white dark veins on sheet,leaf tissue with glue,,definitievely not a resprout,11/7/25,
4745870,4745870,RENO,77920,1967,3 axiallary buds,"yes, basal",white on sheet and label,,,definitievely not a resprout,11/7/25,
4743360,4743360,RENO,75601,1993,4 axiallary buds,"yes, basal",purple on sheet,extra leaf tissue,,definitievely not a resprout,11/7/25,
4745856,4745856,RENO,77910,1967,4 axiallary buds with little leaves,"yes, basal with cauline morphology",purple on sheet,,,no evidence of resprout,11/7/25,
4745854,4745854,RENO,77908,1987,"3 axillary bud, 1 terminal","yes, cauline with basal morphology",purple on label and sheet,,,no evidence of resprout,11/7/25,
,does exist for these but annoyingly the RSA id didn't get pulled into the full datasheet… can find specimen on cchs with RSA id,RSA,RSA0191331,1990,3 axillary buds,no,purple on sheet and label,,,no evidence of resprout,2/17/26,
,,RSA,RSA0191296,1997,3 axillary buds,"yes, basal",purple on sheet,,,no evidence of resprout,2/17/26,
,,RSA,RSA0191163,1971,"2 terminal bud cluster, 1 axillary bud","yes, basal",beige on sheet,tissue from fragment envelope,,definitively not a resprout,2/17/26,
,,RSA,RSA0191237,1959,"3 axillary buds, 1 terminal bud cluster","yes, basal",purple on label and sheet,,,definitively not a resprout,2/17/26,
,,RSA,RSA0191269,1916,2 multibud clusters,"yes, basal",beige on sheet,appears potentially treated with pesticide,,definitively not a resprout,2/17/26,
,,RSA,RSA0191272,1997,5 axillary buds,"yes, basal",purple on sheet,,,definitively not a resprout,2/17/26,
,,RSA,RSA0191206,1998,6 axillary buds,"yes, cauline w/ intermediate morphology",light purple on label and sheet,tissue from fragment envelope,,no evidence of resprout,2/17/26,
,,RSA,RSA0191288,1984,"4 axillary buds, 1 little leaf","yes, cauline w/ intermediate morphology",beige on sheet,,,dry fruiting branches with mini resprouts,2/17/26,
,,RSA,RSA0191325,1987,3 axillary buds,"yes, cauline w/ intermediate morphology",purple (label and sheet),,,no evidence of resprout,2/17/26,
