"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
222,"2293307",2293307,"CAS","74183","74183","1936",2293307,"CAS","Patrick's Point State Park.",,,,,"Humboldt County",,"1 axillary bud, 2 terminal bud cluster, several loose flower buds","yes, cauline, with cauline morphology ","leaf tissue maybe with sum glue"
224,"2358602",2358602,"CAS","74223","74223","1951",2358602,"CAS","Huntington Lake and vicinity. Big Creek.",,,,,"Fresno County",,"2 axillary bud, 1 terminal bud cluster","yes, cauline, with cauline morphology ",
226,"2462190",2462190,"CAS","74213","74213","1964",2462190,"CAS","In the vicinity of White Wolf Stables, Yosemite National Park.",,,,,"Tuolumne County",,"2 axillary bud, 1 terminal bud","yes, cauline, with cauline morphology ",
227,"2291266",2291266,"CAS","74199","74199","1976",2291266,"CAS","Southern part of Sea Ranch, northwestern part of county, about 7 miles south of Gualala.",,,,,"Sonoma County",,"3 terminal  bud clusters, some loose flower buds","yes, cauline, with cauline morphology ",
228,"2500762",2500762,"CAS","154056","154056","2005",2500762,"CAS","South Coast: Batiquitos Lagoon Ecological Reserve, north side east of the I-5 Fwy Elev. given as 0-20ft.",,"33° 05' 31"" N, 117° 17' 57"" W",33.0919444444,-117.2991666667,"San Diego County",,"3 axillary buds, 1 terminal bud cluster","yes, cauline, with cauline morphology ",
229,"2521638",2521638,"CAS","174778","174778","2008",2521638,"CAS","San Joaquin Valley / Sierra Nevada Mountains Foothills: along CA-26, 3.7 miles southwest of Valley Springs at Lime Creek Road Elev. given as 470ft.",,"38° 09' 19"" N, 120° 51' 11"" W",38.1552777778,-120.8530555556,"Calaveras County",,"2 axillary buds, 1 basal leaf",,"purple steam and sepals"
230,,,"CDA","CDA-0003831","CDA-0003831","1932",,,,,,,,,,"3 axillary buds","yes, unknown but appears to have intermediate morphology","leaf tissue from fragment packet"
231,,,"CDA","CDA-0003829","CDA-0003829","1959",,,,,,,,,,"3 axillary buds","yes, basal",
232,,,"CDA","CDA-0003828","CDA-0003828","1958",,,,,,,,,,"3 axillary buds","yes, cauline with intermediate morphology",
233,,,"CDA","CDA-0003833","CDA-0003833","1959",,,,,,,,,,"2 big axillary bud  ","yes, basal",
234,,,"CDA","CDA-0020839","CDA-0020839","1908",4095395,"CDA","Vicinity of Santa Maria Union High School. South Central Coast.",,"Position: 34° 56' 33"" N 120° 26' 9"" W; 34° 56m 33s 120° 26m 9s",34.94,-120.44,"Santa Barbara",,"1 multibud cluster, 1 axillary bud","yes, basal","remove stem from multibud cluster before extraction"
238,,,"CDA","CDA-0043773","CDA-0043773","2004",4084876,"CDA","Nipomo Mesa, Pomeroy Rd, 0.2 mi N of Willow Rd. Central Coast.",,"Position: Near 35° 03.1' "" N 120° 31.5' "" W. Topo Quad Oceano 7.5’ Q.; 35° 3.1m 120° 31.5m",35.05,-120.53,"San Luis Obispo",,"1 terminal bud cluster","yes, cauline w/ cauline morphology","DNA and leaf tissue from fragment packet"
239,,,"CDA","CDA-0018779","CDA-0018779","2000",4095392,"CDA","Bodega Bay. Northern California.",,,38.32,-123.02,"Sonoma",,"2 axillary buds","yes, cauline with basal morphology",
241,"2137472",2137472,"CHSC","CHSC119251","CHSC119251","1996",2137472,"CHSC","Fort Hunter Liggett (Cantonment). Rancho Milpitas Housing Area, ca. 2.0 air km due E of San Antonio River, ca. 2.5 air km due W of Ruby Canyon. UTMs (NAD 27, map estimate): zone 10S, 659400 to 659500 E, 3985900 to 3986100 N.",,,,,"Monterey",,"5 apical bud clusters","no","extra DNA tissue"
242,"2137472",2137472,"CHSC","CHSC119251","CHSC119251","1996",2137472,"CHSC","Fort Hunter Liggett (Cantonment). Rancho Milpitas Housing Area, ca. 2.0 air km due E of San Antonio River, ca. 2.5 air km due W of Ruby Canyon. UTMs (NAD 27, map estimate): zone 10S, 659400 to 659500 E, 3985900 to 3986100 N.",,,,,"Monterey",,"3 apical bud clusters, 1 axillary bud","no","DOUBLE COLLECTED"
243,"2057748",2057748,"CHSC","CHSC047386","CHSC047386","1982(89?)",2057748,"CHSC","Near the dirt road, road leads to the gravel pit, about 1/4 mile south-west of the Myers home, Myers Ranch, Sutter Buttes. In the farmed field to the east.",,"39§ 16m 16s N; 121§ 49m 2s W",39.271111,-121.817222,"Sutter",,"3 axiallary buds","no",
244,"2061660",2061660,"CHSC","CHSC000536","CHSC000536","1953",2061660,"CHSC","[No locality info given on label]",,,,,"Shasta",,"4 axiallary buds, 1 terminal bud cluster, 1 leaf","yes, basal",
253,,,"CHSC","CHSC03835","CHSC03835","1982",,,,,,,,,,"3 axiallary buds","yes, basal","chem leaf yellowing (scenescing)"
254,"2049904",2049904,"CHSC","CHSC038424","CHSC038424","1982",2049904,"CHSC","Upper Bidwell Park, Chico, at the w end of Horseshoe Lake near Parking Area C.",,"39§ 46m 19s N; 121§ 47m 1s W",39.771944,-121.783611,"Butte",,"4 axiallary buds","yes, basal",
256,"2071627",2071627,"CHSC","CHSC066479","CHSC066479","1996",2071627,"CHSC","Cascade Range Foothills. Hog Lake Plateau. BLM parcel along Hwy. 36 NE of Red Bluff. On the flood plain of Paynes Creek. T28N R02W S08 NE1/4 of NW1/4",,"T28N R02W S08 NE1/4 of NW1/4; 40§ 17m 55s N; 122§ 6m 52s W",40.298611,-122.114444,"Tehama",,"2 axiallary bud, 1 little leaf","yes, basal",
258,"2132998",2132998,"CHSC","CHSC111394","CHSC111394","2012",2132998,"CHSC","On disturbed soil, on the east side of the horse path, about 100 yards north of the paved park road, west side of the old walnut orchard, south of Vallombrosa Avenue, about 1/4 mile west of Peterson Drive, Lower Bidwell Park, Chico. T22N R02E S19 NW 1/4",,"T22N R02E S19 NW 1/4; 39§ 45m 3s N; 121§ 48m 5s W",39.750833,-121.801389,"Butte",,"3 axillary bud, 1 little leaf","yes, basal",
259,"2133518",2133518,"CHSC","CHSC112304","CHSC112304","2013",2133518,"CHSC","North Coast. Base of eroding cliffs, above the sand beach, 1.1 miles (air) southeast of Anchor Bay, 2.0 miles (air) northwest of mouth of Gualala River. T11N R15W S20 SW1/4",,"T11N R15W S20 SW1/4; 38§ 47m 21s N; 123§ 33m 40s W",38.789167,-123.561111,"Mendocino",,"3 axiallary buds (?)","yes, basal","some glue on leaf tissue"
260,"3828689",3828689,"CHSC","CHSC122361","CHSC122361","2019",3828689,"CHSC","About 5 yards west of Jordan Hill Road, about 1/2 mile north of the Madre De Oro Gold Mine, west of Concow Reservoir, east of Paradise. T22N, R4E, northwest 1/4 Section 17.",,"39° 45' 47.0"" N 121° 33' 18.6"" W",39.763056,-121.555167,"Butte",,"2 axillary bud","yes, basal","clue on smaller axillary bud"
263,"2061578",2061578,"CHSC","CHSC000535","CHSC000535","1938",2061578,"CHSC","Highland.",,,34.128611,-117.208889,"San Bernardino",,"3 apical buds, 2 little leaves","yes, cauline",
264,"2051496",2051496,"CHSC","CHSC004031","CHSC004031","1967",2051496,"CHSC","Collected: E. Redding, Tehama St. across Sac. River S. to Hilltop Drive, E. on Mistletoe Lane in a field at corner Mis. Lane & Dusty Lane, N.",,"40§ 34m 41s N; 122§ 20m 35s W",40.578056,-122.343056,"Shasta",,"3 axiallary buds","yes, cauline w/ intermediate morphology",
266,"2051858",2051858,"CHSC","CHSC040702","CHSC040702","1982",2051858,"CHSC","The Nature Conservancy Vina Plains Preserve. Near barn in s pasture. T24N R01W S28 SW1/4",,"T24N R01W S28 SW1/4; 39§ 54m 9s N; 121§ 59m 17s W",39.9025,-121.988056,"Tehama",,"5 axillary buds","yes, cauline w/ intermediate morphology",
270,"2070005",2070005,"CHSC","CHSC064605","CHSC064605","1995",2070005,"CHSC","Cascade Range Foothills. Dales Lake Ecological Reserve. W side of Manton Rd. (A6) ca. 1 mi n of Dales Station on Hwy. 36, ca. 14 mi ne of Red Bluff. Along the edge of Manton Rd. s of Inks Creek Rd. T29N R02W S35 SW1/4 of NW1/4",,"T29N R02W S35 SW1/4 of NW1/4; 40§ 19m 26s N; 122§ 3m 54s W",40.323889,-122.065,"Tehama",,"3 axiallary buds","yes, cauline w/ intermediate morphology","glue on leaf tissue"
272,,,"CHSC","CHSC098192","CHSC098192","2006",2125380,"CHSC","Hammond, sandy shoreline of the Columbia River at the boat basin.",,"46§ 12m 23s N; 123§ 57m 6s W",46.206389,-123.951667,"Clatsop",,"5 axillary buds","yes, cauline w/ intermediate morphology","OREGON, oopsâ€¦ ; some glue on leaf tissue"
274,"5737995",5737995,"CHSC","CHSC125469","CHSC125469","1973",5737995,"CHSC","Tahoe National Forest. Soda Springs (town).",,,,,"Nevada",,"4 axiallary buds","yes, cauline with basal morphology",
275,"2046467",2046467,"CHSC","CHSC034565","CHSC034565","1982",2046467,"CHSC","In almond orchard, e side of River Rd. ca. 1 mi s of Sacramento Ave.; Chico Landing site, ca. 5 mi w of Chico. T22N R01W S35 USGS Quadrangle: Chico 1:64,000",,"T22N R01W S35; 39§ 42m 43s N; 121§ 56m 40s W",39.711944,-121.944444,"Butte",,"4 axiallary buds","yes, cauline with basal morphology",
276,,,"CHSC","CHSC03848","CHSC03848","1983",,,,,,,,,,"3 axiallary buds","yes, cauline with basal morphology",
278,"2107639",2107639,"CHSC","CHSC091408","CHSC091408","1987",2107639,"CHSC","Along State Hwy. 121, .4 mile E of its junction with State Hwy. 116 at Big Bend in the Sonoma Valley. T05N R05W S",,"T05N R05W S; 38§ 14m 19s N; 122§ 27m 18s W",38.238611,-122.455,"Sonoma",,"3 axillary bud, 1 little leaf","yes, cauline with basal morphology",
279,"2107639",2107639,"CHSC","CHSC091408","CHSC091408","1987",2107639,"CHSC","Along State Hwy. 121, .4 mile E of its junction with State Hwy. 116 at Big Bend in the Sonoma Valley. T05N R05W S",,"T05N R05W S; 38§ 14m 19s N; 122§ 27m 18s W",38.238611,-122.455,"Sonoma",,"NA _DOUBLE COLLECTED","yes, cauline with basal morphology","DOUBLE COLLECTED"
280,"2085275",2085275,"CHSC","CHSC081237","CHSC081237","1997",2085275,"CHSC","Found in Manchester State Park campground. T13N R17W S USGS Quadrangle: Point Arena 1:24,000",,"T13N R17W S; 38§ 58m 55s N; 123§ 41m 59s W",38.981944,-123.699722,"Mendocino",,"3 axiallary buds","yes, cauline with basal morphology",
281,"2085539",2085539,"CHSC","CHSC081475","CHSC081475","2000",2085539,"CHSC","Shockley Woods, Shockley Rd, Auburn. T 12N R 8E.",,,38.899722,-121.073056,"Placer",,"3 axiallary buds","yes, cauline with basal morphology",
282,"2125798",2125798,"CHSC","CHSC099463","CHSC099463","2007",2125798,"CHSC","Williams; by the junction of 5th Street and B Street,",,,39.1586,-122,"Colusa",,"4 axiallary buds","yes, cauline with basal morphology",
283,"2146635",2146635,"CHSC","CHSC098874","CHSC098874","2008",2146635,"CHSC","Along the fence, about 50 yards west of the wire gate on the south side of Sandy Mush Road, 3.7 miles west of Highway 99, about 8.5 miles south-southeast of Merced. T09S R14E S01 NW1/4 USGS Quadrangle: El Nido",,"T09S R14E S01 NW1/4; 37§ 11m 7s N; 120§ 23m 51s W",37.185278,-120.3975,"Merced",,"3 axiallary buds","yes, cauline with basal morphology",
284,"2134739",2134739,"CHSC","CHSC114899","CHSC114899","2009",2134739,"CHSC","Sacramento; in an empty lot behind residential housing on 32nd Street, just north of Ellwood Avenue and just west of Wainscott Way. Adjacent to the Light Rail Station off of Meadowview Road.",,"38§ 28m 57s N; 121§ 28m 13s W",38.4825,-121.470278,"Sacramento",,"2 axillary bud","yes, cauline with basal morphology","extra leaf tissue"
285,"2134739",2134739,"CHSC","CHSC114899","CHSC114899","2009",2134739,"CHSC","Sacramento; in an empty lot behind residential housing on 32nd Street, just north of Ellwood Avenue and just west of Wainscott Way. Adjacent to the Light Rail Station off of Meadowview Road.",,"38§ 28m 57s N; 121§ 28m 13s W",38.4825,-121.470278,"Sacramento",,"4 axiallary buds","yes, cauline with basal morphology","DOUBLE COLLECTED;glue on some of DNA tissue"
286,"2046466",2046466,"CHSC","CHSC034564","CHSC034564","1982",2046466,"CHSC","On e side of Hwy 99 across from Halle Rd, ca. 1 mi n of Butte/Tehama Co. line. Roadside. T24N R01W S33 USGS Quadrangle: Richardson Springs 1:24,000",,"T24N R01W S33; 39§ 53m 32s N; 121§ 59m 4s W",39.892222,-121.984444,"Tehama",,"3 apical bud clusters","yes, cauline with cauline morphology ",
287,"2120835",2120835,"CHSC","CHSC090955","CHSC090955","2005",2120835,"CHSC","Bottom of a deep drain ditch, about 200 feet east of the railroad tracks, north of Spruce Street, Gridley. T18N R02E S36 SE1/4",,"T18N R02E S36 SE1/4; 39§ 22m 13s N; 121§ 41m 47s W",39.370278,-121.696389,"Butte",,"many buds, sml leaf","yes, cauline with cauline morphology ","extra DNA and leaf tissue"
288,"2061832",2061832,"CHSC","CHSC000538","CHSC000538","1965",2061832,"CHSC","Ca 4 mi SW of Bella Vista on Bella Vista cut-off.",,"40§ 37m 29s N; 122§ 18m 14s W",40.624722,-122.303889,"Shasta",,"3 axillary bud, 1 terminal bud cluster, 1 little leaf",,
290,"1399262",1399262,"DAV","DAV310444","DAV310444","2015",1399262,"DAV","Napa County: McLaughlin UC Reserve. Knoxville Mine site, ca. 7 miles south of McLaughlin Field Station. Collected near old mill foundation.",,"38° 49m 31s N; 122° 20m 10s W",38.825278,-122.336111,"Napa",,"1 terminal  multi-bud cluster","yes, basal",
292,"1372819",1372819,"DAV","DAV300679","DAV300679","2012",1372819,"DAV","Merced County: NE of the town of Planada. Flying M Ranch. Dr. Bob's Power Mosey camp area. On bluff above creek on west side of encampment.",,"37° 22m 54s N; 120° 16m 53s W",37.381667,-120.281389,"Merced",,"2 axiallary bud2, 1 terminal bud cluster","yes, basal ",
294,"1336457",1336457,"DAV","DAV300678","DAV300678","2009",1336457,"DAV","Yolo County: city of Woodland. Mavis Henson field property on the east side of County Road 102, just south of County Road 25. Property owned by city of Woodland.",,"10S 611234E 4277764N",38.641448121733,-121.72186964517,"Yolo",,"3 axiallary buds","yes, cauline w/ intermediate morphology","glue on leaf tissue"
298,"1399259",1399259,"DAV","DAV310441","DAV310441","2015",1399259,"DAV","Napa County: McLaughlin UC Reserve. Knoxville Mine site, ca. 7 miles south of McLaughlin Field Station.",,"38° 49m 31s N; 122° 20m 10s W",38.825278,-122.336111,"Napa",,"4 axillary, 1 big multibud terminal","yes, cauline with basal morphology","extra leaf and DNA tissue from packet"
305,"1368035",1368035,"DAV","DAV310410","DAV310410","1933",1368035,"DAV","Alameda County: UC Berkeley campus.",,,,,"Alameda",,"7 axillary buds","yes, basal ","extra DNA tissue"
309,"1368053",1368053,"DAV","DAV310402","DAV310402","1927",1368053,"DAV","Sonoma County.",,,,,"Sonoma",,"6 axillary buds, 1 lil leaf","yes, cauline w/ intermediate morphology",
313,"1368008",1368008,"DAV","DAV310424","DAV310424","2006",1368008,"DAV","Amador County: Central Valley/Northern Sierra Nevada Foothills; along CA-16, 0.2 mile east of Waits Station, southwest of Plymouth.",,"38° 26m 59s N; 120° 53m 37s W",38.449722,-120.893611,"Amador",,"4 axiallary buds, 1 lil leaf","yes, cauline w/ intermediate morphology","leaf tissue with glue"
314,"1368010",1368010,"DAV","DAV310426","DAV310426","2007",1368010,"DAV","Sacramento County: Sacramento Valley, Sacramento Avenue on the east side of CA-99, junction 1.4 miles north of the Feather River.",,"38° 55m N; 121° 36m 17s W",38.916666666667,-121.604722,"Sacramento",,"2 axillary bud","yes, cauline w/ intermediate morphology",
317,"1367988",1367988,"DAV","DAV300683","DAV300683","1944",1367988,"DAV","Sacramento County: Tunnel Road, Mission Canyon. City of Santa Barbara.",,,34.454,-119.71,"Santa Barbara",,"5 axillary buds","yes, cauline with basal morphology",
320,"1312145",1312145,"DAV","DAV300682","DAV300682","1902",1312145,"DAV","El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker)",,"38° 56m 10s N; 120° 3m 7s W",38.936111,-120.051944,"El Dorado",,"1 axillary, 1 terminal","yes, cauline with cauline morphology ",
321,"1311269",1311269,"DAV","DAV310392","DAV310392","1902",1311269,"DAV","El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker)",,"38° 56m 10s N; 120° 3m 7s W",38.936111,-120.051944,"El Dorado",,"3 axiallary buds","yes, basal",
322,"1312007",1312007,"DAV","DAV310391","DAV310391","1902",1312007,"DAV","El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker)",,"38° 56m 10s N; 120° 3m 7s W",38.936111,-120.051944,"El Dorado",,"3 terminal bud clusters","yes, cauline with cauline morphology ","maybe glue on leaf tissue"
323,"1367983",1367983,"DAV","DAV310435","DAV310435","1992",1367983,"DAV","San Joaquin County: Caswell Memorial State Park.",,,37.695299,-121.183039,"San Joaquin",,"3 axiallary bud, 1 terminal bud cluster","no",
326,,,"DAV","DAV127852","DAV127852","1995",,,,,,,,,,"4 axiallary buds","yes, basal",
327,"1399260",1399260,"DAV","DAV310442","DAV310442","2015",1399260,"DAV","Napa County: McLaughlin UC Reserve. Knoxville Mine site, ca. 7 miles south of McLaughlin Field Station.",,"38° 49m 31s N; 122° 20m 10s W",38.825278,-122.336111,"Napa",,"3 axiallary bud","yes, basal",
329,"1367986",1367986,"DAV","DAV300675","DAV300675","1963",1367986,"DAV","Los Angeles County: Diamond Bar Ranch, Brea Canyon. Santa Ana Mountain Range.",,,34.022725,-117.829608,"Los Angeles",,"5 bud clusters","yes, cauline w/ intermediate morphology","all tissue from envelope"
330,"1367981",1367981,"DAV","DAV300677","DAV300677","1976",1367981,"DAV","Humboldt County: Lanphere-Christensen Dunes, 3 miles west of Arcata.",,"T6N, R1W, Section 23",40.883693,-124.148922,"Humboldt",,"3 axiallary bud","yes, cauline w/ intermediate morphology",
331,"1320906",1320906,"DAV","DAV310438","DAV310438","1992",1320906,"DAV","Sacramento Co.: Cosumnes River Preserve Plant Inventory; by Levee Road; south end of Area 17.",,,38.26666,-121.42696,"Sacramento",,"4 axiallary buds, 1 lil leaf","yes, cauline w/ intermediate morphology","glue on leaf tissue"
333,"1399261",1399261,"DAV","DAV310443","DAV310443","2015",1399261,"DAV","Napa County: McLaughlin UC Reserve. Knoxville Mine site, ca. 7 miles south of McLaughlin Field Station.",,"38° 49m 31s N; 122° 20m 10s W",38.825278,-122.336111,"Napa",,"4 axiallary buds","yes, cauline w/ intermediate morphology",
337,"1392578",1392578,"DAV","DAV310393","DAV310393","2013",1392578,"DAV","Sutter County; Sutter Buttes. Dean Ranch. Along undeveloped road between Willaston Flat and residence.",,"39° 13m 28s N; 121° 47m 9s W",39.224444,-121.785833,"Sutter",,,,
339,"1399932",1399932,"DAV ","DAV310434","DAV310434","1977",1399932,"DAV","Along El Dorado Road, 1/2 mile south of U.S. Highway 50. (Exact location unknown. Coordinates estimated by label maker.)",,"38° 41m 55s N; 120° 51m 27s W",38.698611,-120.8575,"El Dorado",,"4 axiallary buds","yes, cauline w/ intermediate morphology",
340,"3792185",3792185,"FSC","FSC0010470","FSC0010470","1967",3792185,"FSC","Collected on Willow Avenue. 4 miles north of Shepherd Avenue.",,,,,"Fresno",,"4 bud clusters","no","extra tissue"
341,"3792170",3792170,"FSC","FSC0010455","FSC0010455","1974",3792170,"FSC","Plant Community at Cedar and Herndon Avenue",,,,,"Fresno",,"2 bud clusters","no",
342,"3792195",3792195,"FSC","FSC0010480","FSC0010480","1974",3792195,"FSC","in a valley grassland plant community at Teague and Willow road",,,,,"Fresno",,"2 bud clusters and lil leaf","no","extra tissue"
344,"3792179",3792179,"FSC","FSC0010464","FSC0010464","1940",3792179,"FSC","Yosemite rd. 2 mi NE of Laves Bridge.",,,,,"Madera",,"leaf tissue only available","yes, basal",
345,"3792159",3792159,"FSC","FSC0010444","FSC0010444","1953",3792159,"FSC","Fields along Hiway 41 just s. of pt. where rd. starts downgrade to San Joaquin R.",,,,,"Fresno",,"4 bud clusters","yes, basal","extra tissue"
346,"3792160",3792160,"FSC","FSC0010445","FSC0010445","1953",3792160,"FSC","Kaiser Ditch, w-e sect. at Shields & Westlawn Ave. about 3 m. n. of Rolinda.",,,,,"Fresno",,"3 buds and stem bit","yes, basal",
347,"3792168",3792168,"FSC","FSC0010453","FSC0010453","1954",3792168,"FSC","Forkner Ditch, e-2 sect. xing of Friant Rd. s. of Shepherd Ave. 1 1/2 m. ne of Pinedale. Fresno Irrigation District",,,,,"Fresno",,"2 floral buds","yes, basal",
348,"3792176",3792176,"FSC","FSC0010461","FSC0010461","1954",3792176,"FSC","Enterprise Canal. e-w sect. xing Sanger-academy Rd. at Gettysburg Ave. About 9 n. nw. of Centerville. Main Canal",,,,,"Fresno",,"several bud clusters","yes, basal",
349,"3792180",3792180,"FSC","FSC0010465","FSC0010465","1954",3792180,"FSC","Thompson Canal. n-s sect. North & Bishop Aves. About 3 m se. of Kerman, Main Canal.",,,,,"Fresno",,"few bud clusters","yes, basal",
350,"3792181",3792181,"FSC","FSC0010466","FSC0010466","1957",3792181,"FSC","Ca 2 miles east of Centerville in river bottom between Kings Canyon Road and Trimmer Road, a meadow 20 yards east of Rio Vista Ave.",,,,,"Fresno",,"few bud clusters","yes, basal",
351,"3792167",3792167,"FSC","FSC0010452","FSC0010452","1959",3792167,"FSC","Found on canal ditch one mile west of Clovis Avenue on North Avenue.",,,,,"Fresno",,"several bud clusters","yes, basal","extra tissue"
352,"3792178",3792178,"FSC","FSC0010463","FSC0010463","1960",3792178,"FSC","2 miles south of Pismo Beach on west side of highway 101 on Sierra Hill",,,35.129598,-120.609636,"San Luis Obispo",,"3 bud clusters","yes, basal","extra leaf circle and tissue"
353,"3792191",3792191,"FSC","FSC0010476","FSC0010476","1960",3792191,"FSC","2 miles south of Pismo Beach on west side of highway 101 on Sierra Hill.",,,35.129598,-120.609636,"San Luis Obispo",,"3 bud clusters and lil leaf","yes, basal","extra tissue"
354,"3792165",3792165,"FSC","FSC0010450","FSC0010450","1961",3792165,"FSC","On the side of a road cut about 1.5 miles south of the canyon",,,,,"Alameda",,"2 bud clusters","yes, basal",
355,"3792166",3792166,"FSC","FSC0010451","FSC0010451","1965",3792166,"FSC","found along the roadside off of fruit between Dakota and Ashlan",,,,,"Fresno",,"several bud clusters","yes, basal",
356,"3792173",3792173,"FSC","FSC0010458","FSC0010458","1965",3792173,"FSC","Found in a open, grassy field where the soil was sandy loam about 8 miles north of Lompoc on Highway 1",,,,,"Santa Barbara",,"2 bud clusters","yes, basal",
357,"3792172",3792172,"FSC","FSC0010457","FSC0010457","1967",3792172,"FSC","Near the corner of Shaw and Fowler Avenues.",,,,,"Fresno",,"2 bud clusters","yes, basal",
358,"3792182",3792182,"FSC","FSC0010467","FSC0010467","1967",3792182,"FSC",,,,,,"Fresno",,"few bud clusters","yes, basal",
359,"3792162",3792162,"FSC","FSC0010447","FSC0010447","1968",3792162,"FSC","Corner of Big Rock Drive and Pinnacle Way, just south of Malibu, 1 /2 mile from ocean.",,,,,"Los Angeles",,"2 bud clusters","yes, basal",
360,"3792183",3792183,"FSC","FSC0010468","FSC0010468","1974",3792183,"FSC","Found at the corner of Shaw and Academy.",,,,,"Fresno",,"3 bud clusters","yes, basal",
361,"3792198",3792198,"FSC","FSC0010483","FSC0010483","1974",3792198,"FSC","Lost Lake Park along the east boundary fence north of entrance.",,,,,"Fresno",,"few bud clusters","yes, basal",
362,"3792186",3792186,"FSC","FSC0010471","FSC0010471","1977",3792186,"FSC","0.25 miles south of highway 101 on Magnolia Ave, city of Santa Maria.",,,,,"San Luis Obispo",,"4 bud clusters","yes, basal","extra tissue"
363,"3792156",3792156,"FSC","FSC0010441","FSC0010441","1978",3792156,"FSC","Located at Keller Ranch above road on the south side of Kings River immediately upstream from bridge at Kirch Flat.",,,,,"Fresno",,"2 floral bud clusters","yes, basal",
364,"3792192",3792192,"FSC","FSC0010477","FSC0010477","1981",3792192,"FSC","Youth City of America's second entrance, by a creek meadow.",,,,,"Mariposa",,"multiple bud clusters","yes, basal","extra tissue"
365,"3792193",3792193,"FSC","FSC0010478","FSC0010478","1981",3792193,"FSC","Found at Youth City of America's second entrance, by a creek meadow.",,,,,"Mariposa",,"several bud clusters","yes, basal","extra tissue"
366,"3792177",3792177,"FSC","FSC0010462","FSC0010462","1965?",3792177,"FSC","Corner of Copper and Peach in Fresno.",,,,,"Fresno",,"several bud clusters","yes, basal",
368,"3792163",3792163,"FSC","FSC0010448","FSC0010448","1966",3792163,"FSC","Collected at the corner of Twelfth and Fargo Avenues in Hanford. Growing on the northwest side of the intersection on the edge of the road and in the field itself.",,,,,"Kings",,"2 bud clusters","yes, cauline with basal morphology",
369,"3792164",3792164,"FSC","FSC0010449","FSC0010449","1968",3792164,"FSC","Along Auberry Road, 1 mile E. of junction with Millerton Road.",,,,,"Fresno",,"several bud clusters","yes, cauline with basal morphology",
370,"3792188",3792188,"FSC","FSC0010473","FSC0010473","1968",3792188,"FSC","Collected 1/4 mile from Le Grand turn off, going north on Highway 99.",,,,,"Madera",,"1 bud cluster","yes, cauline with basal morphology","2 extra big buds"
372,"3792190",3792190,"FSC","FSC0010475","FSC0010475","1980",3792190,"FSC","Collected on the northeast corner of Caldwell and County Center, Visalia",,,,,"Tulare",,"multiple big bud clusters","yes, cauline with basal morphology","extra tissue"
373,"3792161",3792161,"FSC","FSC0010446","FSC0010446","1964",3792161,"FSC","Copper Avenue 4 miles north of Fresno State College, at edge of cultivated field. One mile east of Willow Avenue.",,,,,"Fresno",,"2 big bud clusters","yes, cauline, intermediate morphology",
374,"3792169",3792169,"FSC","FSC0010454","FSC0010454","1964",3792169,"FSC","Growing on a vacant lot on the West side of Chestnut Avenue. Between Butler and Ventura Avenues.",,,,,"Fresno",,"several bud clusters","yes, cauline, intermediate morphology","extra tissue"
375,"3792174",3792174,"FSC","FSC0010459","FSC0010459","1964",3792174,"FSC","Off of a dirt road past a young vineyard on the righ-hand side of Highway 116, ½ mile easet of Rio Nido.",,,,,"Sonoma",,"several bud clusters","yes, cauline, intermediate morphology","noted might be hybrid on label (constricted fruits and dark purple flowers)"
376,"3792175",3792175,"FSC","FSC0010460","FSC0010460","1965",3792175,"FSC","This plant was found along ditch on Barstow Street just west of Fresno State College.",,,,,"Fresno",,"several bud clusters","yes, cauline, intermediate morphology",
377,"3792187",3792187,"FSC","FSC0010472","FSC0010472","1973",3792187,"FSC","About 15 miles north west of University of California, Santa Barbara, near the coast by the intersection of Del Playa Drive and Camine Majorca",,,,,"Santa Barbara",,"3 bud clusters","yes, cauline, intermediate morphology",
378,"3792194",3792194,"FSC","FSC0010479","FSC0010479","1984",3792194,"FSC","On Montana de Oro bench above bluff at cove.",,,,,"Fresno",,"4 bud clusters","yes, cauline, intermediate morphology","extra tissue"
379,,,"FSC","FSC0010482","FSC0010482","?",3792197,"FSC","Claremont",,,,,"Los Angeles",,"3 bud clusters","yes, cauline, intermediate morphology","extra tissue"
381,"3792184",3792184,"FSC","FSC0010469","FSC0010469","1967",3792184,"FSC","Bradburry Road and Lemon Avenue, Monrovia.",,,,,"Los Angeles",,"3 bud clusters","yes, cauline, not basal morphology",
382,"202465",202465,"OBI","OBI101786","OBI101786","1908",202465,"OBI","Highland Hills",,,,,"Santa Barbara",,"buds w extra","yes, basal",
383,"202486",202486,"OBI","OBI101768","OBI101768","1959",202486,"OBI","UCSB Campus, Goleta",,,,,"Santa Barbara",,"buds w extra","yes, basal",
384,"202487",202487,"OBI","OBI101753","OBI101753","1964",202487,"OBI","3 mi SE of San Luis Obispo on Johnson Ave",,,,,"San Luis Obispo",,"buds w extra","yes, basal",
